source,entity,brand,num,condition,day
2,6_3,Nikon,22.07789275,Flash;Fluorescent;Cloudy,1
3,6_3,Nikon,,Preset;Auto,1
4,6_3,Nikon,23.06500085,White Balance Presets;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;Custom White Balance,1
5,6_3,Nikon,24.39181204,Preset,1
6,6_3,Nikon,,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;all Except Preset Manual with Fine-Tuning;Auto,1
1,6_4,Nikon,26.10498612,Preset;Auto,1
2,6_4,Nikon,22.07789275,Flash;Cloudy,1
3,6_4,Nikon,,Preset;Auto,1
4,6_4,Nikon,23.06500085,White Balance Presets;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;Custom White Balance,1
5,6_4,Nikon,24.39181204,Preset;Auto,1
6,6_4,Nikon,,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;all Except Preset Manual with Fine-Tuning;Auto,1
1,6_5,Nikon,26.10498612,Preset;Auto,1
2,6_5,Nikon,22.07789275,Flash;Fluorescent;Cloud,1
3,6_5,Nikon,,Preset;Auto,1
4,6_5,Nikon,23.06500085,Balance Presets;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual,1
5,6_5,Nikon,24.39181204,Preset,1
6,6_5,Nikon,,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;all Except Preset Manual with Fine-Tuning;Auto,1
1,65_1,Fujifilm,,,
2,65_1,Fujifilm,16,Daylight;Sunny;Shade,1
3,65_1,Fujifilm,,,
4,65_1,Fujifilm,16,Automatic;Preset,1
5,65_1,Fujifilm,,,
6,65_1,Fujifilm,,Automatic;Preset;Fluorescent Light,1
1,65_2,Fujifilm,,,
2,65_2,Fujifilm,14.77601053,Sunny;Shade;Daylight,1
3,65_2,Fujifilm,,,
4,65_2,Fujifilm,15.92489001,Preset;Automatic,1
5,65_2,Fujifilm,,,
6,65_2,Fujifilm,,Preset;Fluorescent Light;Automatic,1
1,65_3,Fujifilm,,,
2,65_3,Fujifilm,14.77601053,Sunny;Shade;Daylight,1
3,65_3,Fujifilm,,,
4,65_3,Fujifilm,15.92489001,Preset;Automatic,1
5,65_3,Fujifilm,,,
6,65_3,Fujifilm,,Preset;Fluorescent Light;Automatic,1
1,65_4,Fujifilm,,,
2,65_4,Fujifilm,14.77601053,Sunny;Shade;Daylight,1
3,65_4,Fujifilm,,,
4,65_4,Fujifilm,15.92489001,Preset;Automatic,1
5,65_4,Fujifilm,,,
6,65_4,Fujifilm,,Preset;Fluorescent Light;Automatic,1
1,65_5,Fujifilm,,,
2,65_5,Fujifilm,14.77601053,Sunny;Shade;Daylight,1
3,65_5,Fujifilm,,,
4,65_5,Fujifilm,15.92489001,Preset;Automatic,1
5,65_5,Fujifilm,,,
6,65_5,Fujifilm,,Preset;Fluorescent Light;Auto,1
1,67_1,Canon,,,
2,67_1,Canon,16,Artificial;Cloudy;Daylight;Sunny;Fluorescent;Tungsten,1
3,67_1,Canon,,,
4,67_1,Canon,16,Auto;Day Light;Cloudy;Tungsten;Fluorescent;Fluorescent H;Custom,1
5,67_1,Canon,,,
6,67_1,Canon,16,Cloudy;Tungsten;Fluorescent;Custom;day Light;Auto;Fluorescent,1
1,67_2,Canon,,,
2,67_2,Canon,14.85500566,Cloudy;Daylight;Sunny;Fluorescent;Tungsten;Artificial,1
3,67_2,Canon,,,
4,67_2,Canon,16.71349035,Day Light;Cloudy;Tungsten;Fluorescent;Fluorescent H;Custom;Auto,1
5,67_2,Canon,,,
6,67_2,Canon,16.15411089,Tungsten;Fluorescent;Custom;day Light;Auto;Fluorescent;Cloudy,1
1,67_3,Canon,,,
2,67_3,Canon,14.85500566,Cloudy;Daylight;Sunny;Fluorescent;Tungsten;Artificial,1
3,67_3,Canon,,,
4,67_3,Canon,16.71349035,Day Light;Cloudy;Tungsten;Fluorescent;Fluorescent H;Custom;Auto,1
5,67_3,Canon,,,
6,67_3,Canon,16.15411089,Tungsten;Fluorescent;Custom;Day Light;Auto;Fluorescent;Cloudy,1
1,67_4,Canon,,,
2,67_4,Canon,14.85500566,Cloudy;Daylight;Sunny;Fluorescent;Tungsten;Artificial,1
3,67_4,Canon,,,
4,67_4,Canon,16.71349035,Day Light;Cloudy;Tungsten;Fluorescent;Fluorescent H;Custom;Auto,1
5,67_4,Canon,,,
6,67_4,Canon,16.15411089,Tungsten;Fluorescent;Custom;day Light;Auto;Fluorescent;Cloudy,1
1,67_5,Canon,,,
2,67_5,Canon,14.85500566,Cloudy;Daylight;Sunny;Fluorescent;Tungsten;Artificial,1
3,67_5,Canon,,,
4,67_5,Canon,16.71349035,Day Light;Cloudy;Tungsten;Fluorescent;Fluorescent H;Custom;Autos,1
5,67_5,Canon,,,
6,67_5,Canon,16.15411089,Tungsten;Fluorescent;Custom;day Light;Auto;Fluorescent;Cloudy,1
1,69_1,Sony,,,
2,69_1,Sony,36,Cloudy;Daylight;Sunny;Shade;Underwater,1
3,69_1,Sony,,,
4,69_1,Sony,36.4,White Balance Presets;Custom White Balance,1
5,69_1,Sony,,,
6,69_1,Sony,,Auto;Daylight;Shade;Cloudy;Incandescent;Fluorescent;Flash;Color Temperature and Color Filter;Custom;Underwater,1
1,69_2,Sony,,,
2,69_2,Sony,32.97253955,Daylight;Sunny;Shade;Underwater;Cloudy,1
3,69_2,Sony,,,
4,69_2,Sony,38.30139049,Custom White Balance;White Balance Presets,1
5,69_2,Sony,,,
6,69_2,Sony,,Daylight;Shade;Cloudy;Incandescent;Fluorescent;Flash;Color Temperature and Color Filter;Custom;Underwater;Auto,1
1,69_3,Sony,,,
2,69_3,Sony,32.97253955,Daylight;Sunny;Shade;Underwater;Cloudy,1
3,69_3,Sony,,,
4,69_3,Sony,38.30139049,Custom White Balance;White Balance Presets,1
5,69_3,Sony,,,
6,69_3,Sony,,Daylight;Shade;Cloudy;Incandescent;Fluorescent;Flash;Color Temperature and Color Filter;Custom;Underwater;Auto,1
1,69_4,Sony,,,
2,69_4,Sony,32.97253955,Daylight;Sunny;Shade;Underwater;Cloudy,1
3,69_4,Sony,,,
4,69_4,Sony,38.30139049,Custom White Balance;White Balance Presets,1
5,69_4,Sony,,,
6,69_4,Sony,,Daylight;Shade;Cloudy;Incandescent;Fluorescent;Flash;Color Temperature and Color Filter;Custom;Underwater;Auto,1
1,69_5,Sony,,,
2,69_5,Sony,32.97253955,Daylight;Cloudy;Shade;Underwater;Cloudy,1
3,69_5,Sony,,,
4,69_5,Sony,38.30139049,Custom White Balance;White Balance Preset,1
5,69_5,Sony,,,
6,69_5,Sony,,Daylight;Shade;Cloudy;Incandescent;Fluorescent;Flash;Color Temperature and Color Filter;Custom;Underwater;Auto,1
1,70_1,Panasonic,,,
2,70_1,Panasonic,14.1,Cloudy;Daylight;Sunny;Incandescent;Shade,1
3,70_1,Panasonic,,,
4,70_1,Panasonic,14.1,Auto;Daylight;Cloudy;Shade;Incandescent;White Set,1
5,70_1,Panasonic,,,
6,70_1,Panasonic,,Shade;White Set;Auto;Incandescent;Daylight;Cloudy,1
1,70_2,Panasonic,,,
2,70_2,Panasonic,13.06127191,Daylight;Sunny;Incandescent;Shade;Cloudy,1
3,70_2,Panasonic,,,
4,70_2,Panasonic,15.09644714,Daylight;Cloudy;Shade;Incandescent;White Set;Auto,1
5,70_2,Panasonic,,,
6,70_2,Panasonic,,White Set;Auto;Incandescent;Daylight;Cloudy;Shade,1
1,70_3,Panasonic,,,
2,70_3,Panasonic,13.06127191,Daylight;Sunny;Incandescent;Shade;Cloudy,1
3,70_3,Panasonic,,,
4,70_3,Panasonic,15.09644714,Daylight;Cloudy;Shade;Incandescent;Preset;Auto,1
5,70_3,Panasonic,,,
6,70_3,Panasonic,,White Set;Auto;Incandescent;Daylight;Cloudy;Shade,1
1,70_4,Panasonic,,,
2,70_4,Panasonic,13.06127191,Daylight;Sunny;Incandescent;Shade;Cloudy,1
3,70_4,Panasonic,,,
4,70_4,Panasonic,15.09644714,Daylight;Cloudy;Shade;Incandescent;White Set;Auto,1
5,70_4,Panasonic,,,
6,70_4,Panasonic,,White Set;Auto;Incandescent;Daylight;Cloudy;Shade,1
1,70_5,Panasonic,,,
2,70_5,Panasonic,13.06127191,Daylight;Sunny;Incandescent;Shade;Cloudy,1
3,70_5,Panasonic,,,
4,70_5,Panasonic,15.09644714,Daylight;Cloudy;Shade;Incandescent;White Set,1
5,70_5,Panasonic,,,
6,70_5,Panasonic,,White Set;Auto;Incandescent;Daylight;Cloudy;Shade,1
1,75_1,Nikon,16.9,Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection,1
2,75_1,Nikon,16.2,Cloudy;Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten,1
3,75_1,Nikon,,Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection,1
4,75_1,Nikon,17,Custom White Balance;White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;preset manua;choose color temperature,1
5,75_1,Nikon,17,Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection,1
6,75_1,Nikon,,,
1,75_2,Nikon,16.43193967,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
2,75_2,Nikon,17.06378901,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten;Cloudy,1
3,75_2,Nikon,,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
4,75_2,Nikon,17.50482921,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;preset manua;choose color temperature;Custom White Balance,1
5,75_2,Nikon,16.8165155,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
6,75_2,Nikon,,,
1,75_3,Nikon,16.43193967,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
2,75_3,Nikon,17.06378901,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten;Cloudy,1
3,75_3,Nikon,,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
4,75_3,Nikon,17.50482921,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;preset manua;choose color temperature;Custom White Balance,1
5,75_3,Nikon,16.8165155,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
6,75_3,Nikon,,,
1,75_4,Nikon,16.43193967,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
2,75_4,Nikon,17.06378901,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten;Cloudy,1
3,75_4,Nikon,,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
4,75_4,Nikon,17.50482921,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;preset manua;choose color temperature;Custom White Balance,1
5,75_4,Nikon,16.8165155,fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
6,75_4,Nikon,,,
1,75_5,Nikon,16.43193967,incandescent;fluorescent;direct sunlight;flash;cloudy;preset manual white balance;color temperature selection;Auto,1
2,75_5,Nikon,17.06378901,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten;Cloudy,1
3,75_5,Nikon,,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
4,75_5,Nikon,17.50482921,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;preset manua;choose color temperature;Custom White Balance,1
5,75_5,Nikon,16.8165155,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
6,75_5,Nikon,,,
1,76_1,Nikon,,,
2,76_1,Nikon,24,Sunlight,1
3,76_1,Nikon,,,
4,76_1,Nikon,24.3,Custom White Balance;White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;All with Fine-tuning,1
5,76_1,Nikon,,,
6,76_1,Nikon,,Auto;Choose Color Temperature;all with Fine-Tuning,1
1,76_2,Nikon,,,
2,76_2,Nikon,24.42504462,Sunlight,1
3,76_2,Nikon,,,
4,76_2,Nikon,24.82511135,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;All with Fine-tuning;Custom White Balance,1
5,76_2,Nikon,,,
6,76_2,Nikon,,Choose Color Temperature;all with Fine-Tuning;Auto,1
1,76_3,Nikon,,,
2,76_3,Nikon,24.42504462,Sunlight,1
3,76_3,Nikon,,,
4,76_3,Nikon,24.82511135,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;All with Fine-tuning;Custom White Balance,1
5,76_3,Nikon,,,
6,76_3,Nikon,,Choose Color Temperature;all with Fine-Tuning;Auto,1
1,76_4,Nikon,,,
2,76_4,Nikon,24.42504462,Sunlight,1
3,76_4,Nikon,,,
4,76_4,Nikon,24.82511135,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;All with Fine-tuning;Custom White Balance,1
5,76_4,Nikon,,,
6,76_4,Nikon,,Choose Color Temperature;all with Fine-Tuning,1
1,76_5,Nikon,,,
2,76_5,Nikon,24.42504462,Sunlight,1
3,76_5,Nikon,,,
4,76_5,Nikon,24.82511135,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;All with Fine-tuning;Custom White Balance,1
5,76_5,Nikon,,,
6,76_5,Nikon,,Choose Color Temperature;all with Fine-Tuning;Auto,1
1,83_1,Nikon,10.3,Auto,1
2,83_1,Nikon,,,
3,83_1,Nikon,,,
4,83_1,Nikon,10.1,Auto,1
5,83_1,Nikon,,,
6,83_1,Nikon,,Auto,1
1,83_2,Nikon,10.48332467,Auto,1
2,83_2,Nikon,,,
3,83_2,Nikon,,,
4,83_2,Nikon,10.21490255,Auto,1
5,83_2,Nikon,,,
6,83_2,Nikon,,Auto,1
1,83_3,Nikon,10.48332467,Auto,1
2,83_3,Nikon,,,
3,83_3,Nikon,,,
4,83_3,Nikon,10.21490255,Auto,1
5,83_3,Nikon,,,
6,83_3,Nikon,,Auto,1
1,83_4,Nikon,10.48332467,Auto,1
2,83_4,Nikon,,,
3,83_4,Nikon,,,
4,83_4,Nikon,10.21490255,Auto,1
5,83_4,Nikon,,,
6,83_4,Nikon,,Auto,1
1,83_5,Nikon,10.48332467,Auto,1
2,83_5,Nikon,,,
3,83_5,Nikon,,,
4,83_5,Nikon,10.21490255,Preset,1
5,83_5,Nikon,,,
6,83_5,Nikon,,Autos,1
1,88_1,Sony,,,
2,88_1,Sony,20,Cloudy;Daylight;Sunny;Flash,1
3,88_1,Sony,,,
4,88_1,Sony,20,White Balance Presets;Custom White Balance,1
5,88_1,Sony,,,
6,88_1,Sony,20,Cloudy;one Push;Fluorescent White Balance 3;Fluorescent White Balance 1;Flash;Incandescent;Daylight;Fluorescent White Balance 2;one Push Set;Auto,1
1,88_2,Sony,,,
2,88_2,Sony,18.71933265,Daylight;Sunny;Flash;Cloudy,1
3,88_2,Sony,,,
4,88_2,Sony,19.51815235,Custom White Balance;White Balance Presets,1
5,88_2,Sony,,,
6,88_2,Sony,20.75334813,one Push;Fluorescent White Balance 3;Fluorescent White Balance 1;Flash;Incandescent;Daylight;Fluorescent White Balance 2;one Push Set;Auto;Cloudy,1
1,88_3,Sony,,,
2,88_3,Sony,18.71933265,Daylight;Sunny;Flash;Cloudy,1
3,88_3,Sony,,,
4,88_3,Sony,19.51815235,Custom White Balance;White Balance Presets,1
5,88_3,Sony,,,
6,88_3,Sony,20.75334813,one Push;Fluorescent White Balance 3;Fluorescent White Balance 1;Flash;Incandescent;Daylight;Fluorescent White Balance 2;one Push Set;Auto;Cloudy,1
1,88_4,Sony,,,
2,88_4,Sony,18.71933265,Daylight;Sunny;Flash;Cloudy,1
3,88_4,Sony,,,
4,88_4,Sony,19.51815235,Custom White Balance;White Balanced Presets,1
5,88_4,Sony,,,
6,88_4,Sony,20.75334813,one Push;Fluorescent White Balance 3;Fluorescent White Balance 1;Flash;Incandescent;Daylight;Fluorescent White Balance 2;one Push Set;Auto;Cloudy,1
1,88_5,Sony,,,
2,88_5,Sony,18.71933265,Daylight;Sunny;Flash;Cloudy,1
3,88_5,Sony,,,
4,88_5,Sony,19.51815235,Custom White Balance;White Balance Presets,1
5,88_5,Sony,,,
6,88_5,Sony,20.75334813,one Push;Fluorescent White Balance 3;Fluorescent White Balance 1;Flash;Incandescent;Daylight;Fluorescent White Balance 2;one Push Set;Auto;Cloudy,1
1,96_1,Canon,20.9,Auto;preset;user-define;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission,1
2,96_1,Canon,20,Cloudy;Daylight;Sunny;Flash;Fluorescent;Tungsten,1
3,96_1,Canon,,,
4,96_1,Canon,20.2,Auto;Preset;Custom;Color Temperature Setting,1
5,96_1,Canon,20.9,Auto;preset;user-defined;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission,1
6,96_1,Canon,,Auto;Preset;Custom;Color Temperature Setting,1
1,96_2,Canon,21.21603705,preset;user-define;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission;Auto,1
2,96_2,Canon,18.76776583,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
3,96_2,Canon,,,
4,96_2,Canon,19.178631,Preset;Custom;Color Temperature Setting;Auto,1
5,96_2,Canon,22.30337037,preset;user-defined;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission;Auto,1
6,96_2,Canon,,Preset;Custom;Color Temperature Setting;Auto,1
1,96_3,Canon,21.21603705,preset;user-define;color temperature setting;With flash color temperature information transmission;Auto,1
2,96_3,Canon,18.76776583,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
3,96_3,Canon,,,
4,96_3,Canon,19.178631,Preset;Custom;Color Temperature Setting;Auto,1
5,96_3,Canon,22.30337037,preset;user-defined;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission;Auto,1
6,96_3,Canon,,Preset;Custom;Color Temperature Setting;Auto,1
1,96_4,Canon,21.21603705,preset;user-define;color temperature setting;with white balance correction and balance bracketing functions;With flash color temperature information transmission;Auto,1
2,96_4,Canon,18.76776583,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1
3,96_4,Canon,,,
4,96_4,Canon,19.178631,Preset;Custom;Color Temperature Setting,1
5,96_4,Canon,22.30337037,preset;user-defined;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission;Auto,1
6,96_4,Canon,,Preset;Custom;Color Temperature Setting;Auto,1
1,96_5,Canon,21.21603705,preset;user-define;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission;Auto,1
2,96_5,Canon,18.76776583,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloud,1
3,96_5,Canon,,,
4,96_5,Canon,19.178631,Preset;Custom;Color Temperature Setting;Auto,1
5,96_5,Canon,22.30337037,preset;user-defined;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission;Auto,1
6,96_5,Canon,,Preset;Custom;Color Temperature Settings;Auto,1
0,0,0,0,0,0,0,0
0,1,2,3,4,5,6
Canon,30,30,30,30,30,30
Nikon,50,50,50,50,50,50
Fujifilm,5,5,5,5,5,5
Sony,10,10,10,10,10,10
Panasonic,5,5,5,5,5,5
