source,entity,domain
55,325,
1,359,15450575
2,359,15667344
3,359,15433000
4,359,15450575
5,359,15447904
6,359,15447904
7,359,15447904
8,359,15444615
9,359,15444615
10,359,15447286
11,359,15057417
12,359,15447286
13,359,15444615
14,359,15444615
15,359,15444615
16,359,15447286
17,359,15346696
18,359,14396804
19,359,15454225
20,359,15450000
21,359,15444855
22,359,15444855
23,359,14545931
24,359,
25,359,
26,359,15111100
27,359,91691
28,359,15444615
29,359,15450000
30,359,15447286
31,359,14561806
32,359,15444615
33,359,15485756
34,359,15453925
35,359,9979505
36,359,15447526
37,359,15444855
38,359,92791
39,359,14284700
40,359,
41,359,15447286
42,359,15444615
43,359,15440000
44,359,1825990
45,359,
46,359,15057417
47,359,15447226
48,359,15436910
49,359,15447186
50,359,15454225
51,359,15433187
52,359,15444515
53,359,15446986
54,359,
55,359,
1,362,3594575
2,362,3312145
3,362,3585000
4,362,3594575
5,362,3592410
6,362,3592410
7,362,3592410
8,362,3591900
9,362,3591900
10,362,3594065
11,362,3588740
12,362,3594065
13,362,3591900
14,362,3591900
15,362,3591900
16,362,3594065
17,362,3589605
18,362,3183997
19,362,3606785
20,362,3590000
21,362,3591900
22,362,3591900
23,362,3190596
24,362,
25,362,
26,362,3516100
27,362,24481
28,362,3591900
29,362,3590000
30,362,3594065
31,362,3565260
32,362,3591900
33,362,3607096
34,362,3606085
35,362,2428510
36,362,3594065
37,362,3591900
38,362,26749
39,362,3277450
40,362,
41,362,3594575
42,362,3592410
43,362,3590000
44,362,314719
45,362,
46,362,3588740
47,362,3593365
48,362,3584875
49,362,3587705
50,362,3596284
51,362,3584675
52,362,3589240
53,362,3593365
54,362,
55,362,
1,383,1123894
2,383,1079747
3,383,1122000
4,383,1123894
5,383,1123794
6,383,1123794
7,383,1123794
8,383,1123794
9,383,1123794
10,383,1123894
11,383,1123794
12,383,1123894
13,383,1123794
14,383,1123794
15,383,1123794
16,383,1123894
17,383,1123894
18,383,1122874
19,383,1124453
20,383,1120000
21,383,1123794
22,383,1123794
23,383,1036957
24,383,
25,383,
26,383,1111600
27,383,3079
28,383,1123794
29,383,1120000
30,383,1123894
31,383,1089785
32,383,1123794
33,383,1124453
34,383,1124453
35,383,1123894
36,383,1123894
37,383,1123794
38,383,3079
39,383,0
40,383,
41,383,1124024
42,383,1123924
43,383,1120000
44,383,179560
45,383,
46,383,1123794
47,383,1123894
48,383,1123894
49,383,1122874
50,383,1119032
51,383,1122374
52,383,1123794
53,383,1123894
54,383,
55,383,
1,407,1056852
2,407,994589
3,407,1056000
4,407,1056852
5,407,1056852
6,407,1056852
7,407,1056852
8,407,1056852
9,407,1056852
10,407,1056277
11,407,1056852
12,407,1056852
13,407,1056852
14,407,1056852
15,407,1056852
16,407,1056852
17,407,1056852
18,407,1056852
19,407,1058409
20,407,1060000
21,407,1056852
22,407,1056852
23,407,929901
24,407,
25,407,
26,407,1046200
27,407,5767
28,407,1056852
29,407,1060000
30,407,1056852
31,407,1005684
32,407,1056852
33,407,1058409
34,407,1058409
35,407,1056852
36,407,1056852
37,407,1056852
38,407,5767
39,407,884586
40,407,
41,407,1056852
42,407,1056852
43,407,1060000
44,407,72721
45,407,
46,407,1056852
47,407,1056852
48,407,1056652
49,407,1056652
50,407,1053109
51,407,1055597
52,407,1056852
53,407,1056852
54,407,
55,407,
1,423,1174196
2,423,1161729
3,423,1172000
4,423,1174196
5,423,1173896
6,423,1173896
7,423,1173896
8,423,1173896
9,423,1173896
10,423,1173996
11,423,1173796
12,423,1174096
13,423,1173896
14,423,1173896
15,423,1173896
16,423,1174196
17,423,1173996
18,423,1035146
19,423,1186221
20,423,1170000
21,423,1173896
22,423,1173896
23,423,1134129
24,423,
25,423,
26,423,1149000
27,423,13494
28,423,1173896
29,423,1170000
30,423,1174196
31,423,1119561
32,423,1173896
33,423,1186221
34,423,1186121
35,423,1174196
36,423,1174196
37,423,1173896
38,423,13594
39,423,0
40,423,
41,423,1174196
42,423,1173896
43,423,1170000
44,423,227289
45,423,
46,423,1173796
47,423,1003873
48,423,1173996
49,423,1173996
50,423,1181576
51,423,1171689
52,423,1173796
53,423,1174096
54,423,
55,423,
1,462,1518831
2,462,1404540
3,462,1517000
4,462,1518831
5,462,1516331
6,462,1516331
7,462,1516331
8,462,1515571
9,462,1515571
10,462,1517071
11,462,1515571
12,462,1518071
13,462,1515571
14,462,1515571
15,462,1515571
16,462,1518071
17,462,1517971
18,462,1518071
19,462,1533927
20,462,1520000
21,462,1515571
22,462,1515571
23,462,1266210
24,462,
25,462,
26,462,1503300
27,462,32531
28,462,1515571
29,462,1520000
30,462,1518071
31,462,1498029
32,462,1515571
33,462,1533927
34,462,1533827
35,462,1518071
36,462,1518071
37,462,1515571
38,462,32531
39,462,0
40,462,
41,462,1520054
42,462,1517554
43,462,1520000
44,462,488139
45,462,
46,462,1515571
47,462,1517971
48,462,1518071
49,462,1517071
50,462,1524113
51,462,1517071
52,462,1515571
53,462,1517971
54,462,
55,462,
1,464,2793472
2,464,2625361
3,464,2792000
4,464,2793472
5,464,2788872
6,464,2788872
7,464,2788872
8,464,2788872
9,464,2788872
10,464,2793472
11,464,2718498
12,464,2793472
13,464,2788872
14,464,2788872
15,464,2788872
16,464,2793472
17,464,2792972
18,464,2633799
19,464,2794623
20,464,2790000
21,464,2788872
22,464,2788872
23,464,2561818
24,464,
25,464,
26,464,2779000
27,464,2433
28,464,2788872
29,464,2790000
30,464,2793472
31,464,2718740
32,464,2788872
33,464,2794623
34,464,2794123
35,464,2793472
36,464,2793472
37,464,2788872
38,464,2433
39,464,2586037
40,464,
41,464,2793472
42,464,2788872
43,464,2790000
44,464,104405
45,464,
46,464,2718498
47,464,2792972
48,464,2793372
49,464,2793372
50,464,2791323
51,464,2792190
52,464,2788872
53,464,2792972
54,464,
55,464,
1,466,971143
2,466,787088
3,466,966673
4,466,971143
5,466,967073
6,466,967073
7,466,967073
8,466,967073
9,466,967073
10,466,969787
11,466,896057
12,466,971143
13,466,967073
14,466,967073
15,466,967073
16,466,971143
17,466,971043
18,466,969787
19,466,971143
20,466,971143
21,466,967073
22,466,967073
23,466,713980
24,466,
25,466,
26,466,956800
27,466,15039
28,466,967073
29,466,971143
30,466,971143
31,466,841849
32,466,967073
33,466,973612
34,466,971043
35,466,971143
36,466,971143
37,466,967073
38,466,15039
39,466,812039
40,466,
41,466,971143
42,466,967073
43,466,971140
44,466,133702
45,466,
46,466,896057
47,466,971043
48,466,971143
49,466,971143
50,466,967343
51,466,966673
52,466,967073
53,466,971043
54,466,
55,466,
1,470,4109935
2,470,3977040
3,470,4104000
4,470,4109935
5,470,4102623
6,470,4102623
7,470,4102623
8,470,4100123
9,470,4100123
10,470,4104438
11,470,3590169
12,470,4107435
13,470,4100123
14,470,4100123
15,470,4100123
16,470,4107435
17,470,3949723
18,470,3426300
19,470,4109935
20,470,4110000
21,470,4100123
22,470,4102623
23,470,2850221
24,470,
25,470,
26,470,4026700
27,470,169658
28,470,4100123
29,470,4110000
30,470,4107435
31,470,3281666
32,470,4100123
33,470,4132368
34,470,4109335
35,470,4107435
36,470,4107435
37,470,4100123
38,470,167158
39,470,3221905
40,470,
41,470,4107435
42,470,4100123
43,470,4100000
44,470,466926
45,470,
46,470,3590169
47,470,4109335
48,470,4104122
49,470,3426300
50,470,4101029
51,470,4103986
52,470,4096810
53,470,4106835
54,470,
55,470,
1,500,717087
2,500,630939
3,500,714744
4,500,717087
5,500,716376
6,500,716376
7,500,716376
8,500,716376
9,500,716376
10,500,717087
11,500,716376
12,500,717087
13,500,716376
14,500,716376
15,500,716376
16,500,717087
17,500,716887
18,500,717087
19,500,735553
20,500,717087
21,500,716376
22,500,716376
23,500,584782
24,500,
25,500,
26,500,707300
27,500,21009
28,500,716376
29,500,717087
30,500,717087
31,500,711735
32,500,716376
33,500,735853
34,500,735353
35,500,717087
36,500,717087
37,500,716376
38,500,21009
39,500,0
40,500,
41,500,717087
42,500,716376
43,500,717090
44,500,169976
45,500,
46,500,716376
47,500,716887
48,500,717087
49,500,717087
50,500,729125
51,500,714744
52,500,716376
53,500,716887
54,500,
55,500,
1,502,1124267
2,502,1081974
3,502,1064000
4,502,1124267
5,502,1107267
6,502,1107267
7,502,1107267
8,502,1107067
9,502,1107067
10,502,1118557
11,502,1106271
12,502,1124067
13,502,1107067
14,502,1107067
15,502,1107067
16,502,1124067
17,502,1123271
18,502,992550
19,502,1129076
20,502,1120000
21,502,1107067
22,502,1107067
23,502,1007073
24,502,
26,502,1260400
27,502,9887
28,502,1107067
29,502,1120000
30,502,1124067
31,502,1105855
32,502,1107067
33,502,1129076
34,502,1129076
35,502,1124067
36,502,1124067
37,502,1107067
38,502,10683
39,502,0
40,502,
41,502,1124267
42,502,1107267
43,502,1120000
44,502,
45,502,
46,502,1106271
47,502,1124067
48,502,1122855
49,502,1122855
50,502,1125342
51,502,1112961
52,502,1106271
53,502,1124067
54,502,
55,502,
1,507,4768735
2,507,4516337
3,507,4689000
4,507,4768735
5,507,4765904
6,507,4765904
7,507,4765904
8,507,4765904
9,507,4765904
10,507,4688955
11,507,4765904
12,507,4768735
13,507,4765904
14,507,4765904
15,507,4765904
16,507,4768735
17,507,4768735
18,507,4697954
19,507,4898013
20,507,4770000
21,507,4765904
22,507,4765904
23,507,4414728
24,507,
25,507,
26,507,4709800
27,507,158889
28,507,4765904
29,507,4770000
30,507,4768735
31,507,4642332
32,507,4765904
33,507,4898133
34,507,4898013
35,507,4768735
36,507,4768735
37,507,4765904
38,507,160589
39,507,4140091
40,507,
41,507,4768735
42,507,4765904
43,507,4770000
44,507,739029
45,507,
46,507,4765904
47,507,4768735
48,507,4768094
49,507,4768735
50,507,4872392
51,507,4688955
52,507,4765904
53,507,4768735
54,507,
55,507,
1,516,1984988
2,516,1989260
3,516,1983000
4,516,1984988
5,516,1982988
6,516,1982988
7,516,1982988
8,516,1981039
9,516,1981039
10,516,1983039
11,516,1981039
12,516,1983039
13,516,1981039
14,516,1981039
15,516,1981039
16,516,1983039
17,516,1982939
18,516,1648282
19,516,1985820
20,516,1980000
21,516,1981039
22,516,1981039
23,516,1870569
24,516,
25,516,
26,516,1967400
27,516,9498
28,516,1981039
29,516,1980000
30,516,1983039
31,516,1938770
32,516,1981039
33,516,0
34,516,1985720
35,516,1983039
36,516,1983039
37,516,1981039
38,516,16237
39,516,0
40,516,
41,516,1984988
42,516,1982988
43,516,1980000
44,516,481154
45,516,
46,516,1981039
47,516,1982939
48,516,1983039
49,516,1983039
50,516,1977220
51,516,1983039
52,516,1981039
53,516,1982939
54,516,
55,516,
1,529,2213698
2,529,2002280
3,529,2205000
4,529,2213698
5,529,2212785
6,529,2212785
7,529,2212785
8,529,2210932
9,529,2210932
10,529,2204727
11,529,2210932
12,529,2211845
13,529,2210932
14,529,2210932
15,529,2210932
16,529,2211845
17,529,2209940
18,529,2211845
19,529,2215924
20,529,2210000
21,529,2210932
22,529,2210932
23,529,1900254
24,529,
25,529,
26,529,2183700
27,529,18823
28,529,2210932
29,529,2210000
30,529,2211845
31,529,2197833
32,529,2210932
33,529,2215924
34,529,2214019
35,529,2211845
36,529,2211845
37,529,2210932
38,529,10495
39,529,0
40,529,
41,529,2215098
42,529,2214185
43,529,2210000
44,529,598554
45,529,
46,529,2210932
47,529,2209940
48,529,2211845
49,529,2211845
50,529,2203278
51,529,2204727
52,529,2210932
53,529,2209940
54,529,
55,529,
1,546,1653833
2,546,1510757
3,546,1648000
4,546,1653833
5,546,1648433
6,546,1648433
7,546,1648433
8,546,1646943
9,546,1646943
10,546,1651643
11,546,1646943
12,546,1652343
13,546,1646943
14,546,1646943
15,546,1646943
16,546,1652343
17,546,1651943
18,546,1652343
19,546,1710240
20,546,1650000
21,546,1646943
22,546,1646943
23,546,1468779
24,546,
25,546,
26,546,1633800
27,546,67820
28,546,1646943
29,546,1650000
30,546,1652343
31,546,1633304
32,546,1646943
33,546,1710240
34,546,1709840
35,546,1652343
36,546,1652343
37,546,1646943
38,546,61903
39,546,0
40,546,
41,546,1653833
42,546,1648433
43,546,1650000
44,546,533801
45,546,
46,546,1646943
47,546,1651943
48,546,1652343
49,546,1652143
50,546,1704409
51,546,1647833
52,546,1646943
53,546,1651943
54,546,
55,546,
1,549,11608937
2,549,10753636
3,549,11599000
4,549,11608937
5,549,11601553
6,549,11601553
7,549,11601553
8,549,11599953
9,549,11599953
10,549,11607337
11,549,10942466
12,549,11607337
13,549,11599953
14,549,11599953
15,549,11599953
16,549,11607337
17,549,11607337
18,549,11607337
19,549,11624501
20,549,11610000
21,549,11601553
22,549,11601553
23,549,10182303
24,549,
25,549,
26,549,11447300
27,549,61420
28,549,11599953
29,549,11610000
30,549,11607337
31,549,11529257
32,549,11599953
33,549,11637800
34,549,11631201
35,549,11607337
36,549,11607337
37,549,11599953
38,549,61420
39,549,10166555
40,549,
41,549,11608937
42,549,11601553
43,549,11610000
44,549,2192917
45,549,
46,549,10942466
47,549,11608937
48,549,11599300
49,549,11607337
50,549,11613293
51,549,11599300
52,549,11599953
53,549,11607337
54,549,
55,549,
1,554,25237394
2,554,23436019
3,554,25039000
4,554,23044748
5,554,25208629
6,554,25208629
7,554,25208629
8,554,25186099
9,554,25186099
10,554,25134284
11,554,25186099
12,554,25214864
13,554,25186099
14,554,25186099
15,554,25186099
16,554,25214864
17,554,25206996
18,554,25214864
19,554,25275531
20,554,25210000
21,554,25186099
22,554,25186653
23,554,21514309
24,554,
25,554,
26,554,24928200
27,554,290847
28,554,25186099
29,554,25210000
30,554,25214864
31,554,24852592
32,554,25186099
33,554,25363041
34,554,25267662
35,554,
36,554,26955765
37,554,25186099
38,554,290293
39,554,21776655
40,554,
41,554,25257094
42,554,25228329
43,554,25210000
44,554,3345466
45,554,
46,554,25186099
47,554,25206996
48,554,25214864
49,554,25214864
50,554,25215496
51,554,25038902
52,554,25186099
53,554,25206995
54,554,
55,554,
1,555,935770
2,555,909089
3,555,928123
4,555,935770
5,555,934938
6,555,934938
7,555,934938
8,555,933538
9,555,933538
10,555,928123
11,555,887810
12,555,934370
13,555,933538
14,555,933538
15,555,933538
16,555,934370
17,555,934370
18,555,934370
19,555,937816
20,555,934370
21,555,933538
22,555,933538
23,555,871046
24,555,
25,555,
26,555,920600
27,555,18895
28,555,933538
29,555,934370
30,555,934370
31,555,926991
32,555,933538
33,555,945016
34,555,937816
35,555,934370
36,555,934370
37,555,933538
38,555,18895
39,555,0
40,555,
41,555,935770
42,555,934938
43,555,934370
44,555,214219
45,555,
46,555,887810
47,555,934370
48,555,928123
49,555,934370
50,555,934836
51,555,928123
52,555,933538
53,555,934370
54,555,
55,555,
1,556,5227363
2,556,4984206
3,556,5214000
4,556,5227363
5,556,5219612
6,556,5219612
7,556,5219612
8,556,5219312
9,556,5219312
10,556,5226475
11,556,4851648
12,556,5227063
13,556,5219312
14,556,5219312
15,556,5219312
16,556,5227063
17,556,5183768
18,556,4704951
19,556,5227363
20,556,5230000
21,556,5219312
22,556,5219312
23,556,4025107
24,556,
25,556,
26,556,5159300
27,556,68421
28,556,5219312
29,556,5230000
30,556,5227063
31,556,4577397
32,556,5219312
33,556,5255447
34,556,5243005
35,556,3152658
36,556,5227063
37,556,5219312
38,556,69009
39,556,4406388
40,556,
41,556,5227063
42,556,5219312
43,556,5210000
44,556,507499
45,556,
46,556,4851648
47,556,5225005
48,556,5214516
49,556,5227063
50,556,5220769
51,556,5214416
52,556,5219312
53,556,5225005
54,556,
55,556,
1,562,3177246
2,562,3015114
3,562,3173000
4,562,3177246
5,562,3153505
6,562,3153505
7,562,3153505
8,562,3153505
9,562,3153505
10,562,3177246
11,562,2855746
12,562,3177246
13,562,3153505
14,562,3153505
15,562,3153505
16,562,3177246
17,562,3172253
18,562,2471873
19,562,3177246
20,562,3180000
21,562,3153505
22,562,3153505
23,562,2820851
24,562,
25,562,
26,562,3126000
27,562,45233
28,562,3153505
29,562,3180000
30,562,3177246
31,562,2624625
32,562,3153505
33,562,3183589
34,562,3172253
35,562,3177246
36,562,3177246
37,562,3153505
38,562,48833
39,562,2471873
40,562,
41,562,3177246
42,562,3153505
43,562,3170000
44,562,1002621
45,562,
46,562,2855746
47,562,3172253
48,562,3173246
49,562,3173446
50,562,3172946
51,562,3173246
52,562,3149705
53,562,3172253
54,562,
55,562,
1,580,6146325
2,580,5693946
3,580,6125000
4,580,6145425
5,580,6123743
6,580,6123743
7,580,6123743
8,580,6114143
9,580,6114143
10,580,6134325
11,580,6114143
12,580,6135825
13,580,6114143
14,580,6114143
15,580,6114143
16,580,6135825
17,580,6132525
18,580,6131425
19,580,6155507
20,580,6140000
21,580,6114143
22,580,6114143
23,580,5389991
24,580,
25,580,
26,580,6048700
27,580,62292
28,580,6114143
29,580,6140000
30,580,6135825
31,580,6056646
32,580,6114143
33,580,6159390
34,580,6153707
35,580,6135825
36,580,6135825
37,580,6114143
38,580,52692
39,580,5068487
40,580,
41,580,6145425
42,580,6123743
43,580,6140000
44,580,910164
45,580,
46,580,6114143
47,580,6134025
48,580,6131425
49,580,6131425
50,580,6075059
51,580,6124863
52,580,6114143
53,580,6134025
54,580,
55,580,
1,591,6792906
2,591,6519114
3,591,6780000
4,591,6792906
5,591,6756956
6,591,6756956
7,591,6756956
8,591,6748327
9,591,6748327
10,591,6781157
11,591,6745207
12,591,6781157
13,591,6745207
14,591,6745207
15,591,6745207
16,591,6781157
17,591,6772077
18,591,5782573
19,591,6795680
20,591,6780000
21,591,6752356
22,591,6756956
23,591,6186841
24,591,
25,591,
26,591,6696000
27,591,44746
28,591,6745207
29,591,6780000
30,591,6781157
31,591,6745207
32,591,6748327
33,591,6810313
34,591,6786600
35,591,6784277
36,591,6784277
37,591,6748327
38,591,47866
39,591,5990183
40,591,
41,591,6792906
42,591,6756956
43,591,6790000
44,591,1358323
45,591,
46,591,6745207
47,591,6775197
48,591,6781157
49,591,6781157
50,591,6789530
51,591,6780357
52,591,6745207
53,591,6775197
54,591,
55,591,
1,627,12775795
2,627,11964439
3,627,12773000
4,627,12775795
5,627,12768142
6,627,12768142
7,627,12768142
8,627,12766235
9,627,12766235
10,627,12773888
11,627,12766135
12,627,12773888
13,627,12766235
14,627,12766235
15,627,12766235
16,627,12773888
17,627,12772788
18,627,12773788
19,627,12775795
20,627,12770000
21,627,12766235
22,627,12768142
23,627,11555106
24,627,
25,627,
26,627,12659700
27,627,6945
28,627,12766235
29,627,12770000
30,627,12773888
31,627,12673960
32,627,12766235
33,627,0
34,627,12774795
35,627,12773888
36,627,12773888
37,627,12766235
38,627,6985
39,627,0
40,627,
41,627,12775795
42,627,12768142
43,627,12780000
44,627,3843527
45,627,
46,627,12766135
47,627,12772888
48,627,12773788
49,627,12773788
50,627,12756638
51,627,12773426
52,627,12766135
53,627,12772888
54,627,
55,627,
1,632,3979082
2,632,3688693
3,632,3978000
4,632,3979082
5,632,3977082
6,632,3977082
7,632,3977082
8,632,3976982
9,632,3976982
10,632,3978662
11,632,3865831
12,632,3978362
13,632,3976982
14,632,3976982
15,632,3976982
16,632,3978982
17,632,3959970
18,632,3603244
19,632,3979380
20,632,3980000
21,632,3976362
22,632,3976982
23,632,3318712
24,632,
25,632,
26,632,3900400
27,632,16179
28,632,3976982
29,632,3980000
30,632,3978982
31,632,3740820
32,632,3976982
33,632,3988572
34,632,3979380
35,632,3978982
36,632,3978982
37,632,3976982
38,632,16699
39,632,3653563
40,632,
41,632,3978982
42,632,3976982
43,632,3980000
44,632,332906
45,632,
46,632,3865831
47,632,3978982
48,632,3978362
49,632,3978662
50,632,3962869
51,632,3977853
52,632,3976362
53,632,3978982
54,632,
55,632,
1,641,13650135
2,641,11652974
3,641,13631000
4,641,13650035
5,641,13642420
6,641,13642420
7,641,13642420
8,641,13641530
9,641,13641530
10,641,13649145
11,641,12884099
12,641,13632889
13,641,13641530
14,641,13641530
15,641,13641530
16,641,13649145
17,641,13632889
18,641,13632889
19,641,13704364
20,641,13650000
21,641,13641530
22,641,13641530
23,641,11560783
24,641,
25,641,
26,641,13487300
27,641,159994
28,641,13641530
29,641,13650000
30,641,13649145
31,641,13494738
32,641,13641530
33,641,13710658
34,641,13704364
35,641,13649145
36,641,13649145
37,641,13641530
38,641,161350
39,641,11901532
40,641,
41,641,13650035
42,641,13642420
43,641,13650000
44,641,4144920
45,641,
46,641,12884099
47,641,
48,641,13631822
49,641,13632889
50,641,13672695
51,641,13631422
52,641,13625274
53,641,13649145
54,641,
55,641,
1,643,3868464
2,643,4085076
3,643,3852000
4,643,3868464
5,643,3826059
6,643,3826059
7,643,3826059
8,643,3826059
9,643,3826059
10,643,3868464
11,643,3826059
12,643,3868464
13,643,3826059
14,643,3826059
15,643,3826059
16,643,3868464
17,643,3862364
18,643,3112025
19,643,3871584
20,643,3870000
21,643,3826059
22,643,3826059
23,643,3764583
24,643,
25,643,
26,643,3810100
27,643,22496
28,643,3826059
29,643,3870000
30,643,3868464
31,643,3323148
32,643,3826059
33,643,3871584
34,643,3865484
35,643,3868464
36,643,3868464
37,643,3826059
38,643,22496
39,643,0
40,643,
41,643,3868464
42,643,3826059
43,643,3870000
44,643,1019879
45,643,
46,643,3826059
47,643,3862364
48,643,3854644
49,643,3854644
50,643,3865804
51,643,3851844
52,643,3826059
53,643,3862364
54,643,
55,643,
1,670,30589553
2,670,29056377
3,670,30536000
4,670,29836277
5,670,30588283
6,670,30588283
7,670,30588283
8,670,30553411
9,670,30553411
10,670,30554681
11,670,30553411
12,670,30554681
13,670,30553411
14,670,30553411
15,670,30553411
16,670,30554681
17,670,30554280
18,670,27707574
19,670,30597467
20,670,30550000
21,670,30553411
22,670,30553411
23,670,28922738
24,670,
25,670,
26,670,30317200
27,670,118265
28,670,30553411
29,670,30550000
30,670,30554681
31,670,30389909
32,670,30553411
33,670,30597467
34,670,30597068
35,670,14378790
36,670,30554681
37,670,30553411
38,670,118265
39,670,28408390
40,670,
41,670,30590953
42,670,30589983
43,670,30550000
44,670,5772935
45,670,
46,670,30553411
47,670,30554280
48,670,30554681
49,670,30554681
50,670,30363283
51,670,30536186
52,670,30553411
53,670,30554281
54,670,
55,670,
1,671,949101
2,671,932931
3,671,946790
4,671,949101
5,671,948001
6,671,948001
7,671,948001
8,671,948001
9,671,948001
10,671,946790
11,671,824362
12,671,949101
13,671,948001
14,671,948001
15,671,948001
16,671,949101
17,671,949101
18,671,785163
19,671,949101
20,671,949101
21,671,948001
22,671,948001
23,671,854300
24,671,
25,671,
26,671,936800
27,671,6341
28,671,948001
29,671,949101
30,671,949101
31,671,804944
32,671,948001
33,671,950272
34,671,949101
35,671,949101
36,671,949101
37,671,948001
38,671,6341
39,671,768684
40,671,
41,671,949101
42,671,948001
43,671,949100
44,671,88122
45,671,
46,671,824362
47,671,949101
48,671,946790
49,671,949001
50,671,947601
51,671,946790
52,671,948001
53,671,949101
54,671,
55,671,
1,696,12950640
2,696,12043675
3,696,12861000
4,696,12950640
5,696,12862161
6,696,12862161
7,696,12925251
8,696,12836077
9,696,12836077
10,696,12861466
11,696,12836077
12,696,12861466
13,696,12836077
14,696,12836077
15,696,12836077
16,696,
17,696,12861466
18,696,9014703
19,696,13034072
20,696,12860000
21,696,12836077
22,696,12836077
23,696,11399680
24,696,
25,696,
26,696,12726900
27,696,266962
28,696,12836077
29,696,12860000
30,696,12861466
31,696,12833482
32,696,12836077
33,696,13034072
34,696,13034072
35,696,12861466
36,696,12861466
37,696,12836077
38,696,231149
39,696,10227863
40,696,
41,696,12950640
42,696,12925251
43,696,12860000
44,696,1874725
45,696,
46,696,12836077
47,696,12861466
48,696,12861466
49,696,12861466
50,696,13011679
51,696,12861066
52,696,12836077
53,696,12861466
54,696,
55,696,
1,700,3268365
2,700,2978967
3,700,3254000
4,700,3268365
5,700,3265839
6,700,3265839
7,700,3265839
8,700,3265839
9,700,3265839
10,700,3267485
11,700,3134406
12,700,3268365
13,700,3265839
14,700,3265839
15,700,3265839
16,700,3268365
17,700,3213250
18,700,3254543
19,700,3268565
20,700,3270000
21,700,3265839
22,700,3265839
23,700,2538843
24,700,
25,700,
26,700,3229600
27,700,62383
28,700,3265839
29,700,3270000
30,700,3268365
31,700,2902191
32,700,3265839
33,700,3284196
34,700,3268465
35,700,3268365
36,700,3268365
37,700,3265839
38,700,62383
39,700,2828961
40,700,
41,700,3268365
42,700,3265839
43,700,3250000
44,700,323613
45,700,
46,700,3134406
47,700,3268265
48,700,3254543
49,700,3268365
50,700,3263583
51,700,3254443
52,700,3265839
53,700,3268265
54,700,
55,700,
1,707,2951543
2,707,2430654
3,707,2948000
4,707,2951543
5,707,2950193
6,707,2950193
7,707,2950193
8,707,2950193
9,707,2950193
10,707,2951214
11,707,2755058
12,707,2951543
13,707,2950193
14,707,2950193
15,707,2950193
16,707,2951543
17,707,2924787
18,707,2431596
19,707,2951543
20,707,2950000
21,707,2949993
22,707,2950193
23,707,2285374
24,707,
25,707,
26,707,2915100
27,707,18687
28,707,2950193
29,707,2950000
30,707,2951543
31,707,2638997
32,707,2950193
33,707,2957618
34,707,2951143
35,707,1548820
36,707,2951543
37,707,2950193
38,707,18687
39,707,2533842
40,707,
41,707,2951543
42,707,2950193
43,707,2950000
44,707,498881
45,707,
46,707,2755058
47,707,2951143
48,707,2947684
49,707,2951343
50,707,2935013
51,707,2947684
52,707,2949993
53,707,2951143
54,707,
55,707,
1,748,2218028
2,748,2116656
3,748,2212000
4,748,2218028
5,748,2214328
6,748,2214328
7,748,2214328
8,748,2210228
9,748,2210228
10,748,2211595
11,748,2209330
12,748,2213928
13,748,2209330
14,748,2209330
15,748,2209330
16,748,2213030
17,748,2211850
18,748,1879365
19,748,2222697
20,748,2210000
21,748,2214328
22,748,2214328
23,748,1962475
24,748,
25,748,
26,748,2192600
27,748,15266
28,748,2209330
29,748,2210000
30,748,2213030
31,748,2208250
32,748,2209330
33,748,2222697
34,748,2222597
35,748,2213928
36,748,2213928
37,748,2210228
38,748,16164
39,748,1756549
40,748,
41,748,2218028
42,748,2214328
43,748,2220000
44,748,685783
45,748,
46,748,2209330
47,748,2213828
48,748,2211950
49,748,2211950
50,748,2214197
51,748,2211595
52,748,2208250
53,748,2212930
54,748,
55,748,
1,759,2460853
2,759,2379557
3,759,2453000
4,759,2460853
5,759,2452333
6,759,2452333
7,759,2452333
8,759,2452333
9,759,2452333
10,759,2460442
11,759,2226677
12,759,2460853
13,759,2452333
14,759,2452333
15,759,2452333
16,759,2460853
17,759,2460853
18,759,1986289
19,759,2460853
20,759,2460000
21,759,2452333
22,759,2452333
23,759,2166855
24,759,
25,759,
26,759,2421300
27,759,42270
28,759,2452333
29,759,2460000
30,759,2460853
31,759,2130097
32,759,2452333
33,759,2469347
34,759,2460853
35,759,2460853
36,759,2460853
37,759,2452333
38,759,42270
39,759,0
40,759,
41,759,2460853
42,759,2452333
43,759,2450000
44,759,204646
45,759,
46,759,2226677
47,759,2460853
48,759,2453034
49,759,2460853
50,759,2442240
51,759,2453034
52,759,2452333
53,759,2460853
54,759,
55,759,
1,760,14764168
2,760,13502959
3,760,14706000
4,760,13982129
5,760,14764168
6,760,14764168
7,760,14764168
8,760,14764168
9,760,14764168
10,760,14711068
11,760,14024668
12,760,14764168
13,760,14764168
14,760,14764168
15,760,14764168
16,760,14764468
17,760,13703255
18,760,13023991
19,760,14764168
20,760,14760000
21,760,14764168
22,760,14764168
23,760,12128733
24,760,
25,760,
26,760,14598100
27,760,80268
28,760,14764168
29,760,14760000
30,760,13515262
31,760,13393231
32,760,14764168
33,760,0
34,760,14762354
35,760,14764168
36,760,14764168
37,760,14764168
38,760,80268
39,760,12996462
40,760,
41,760,14764168
42,760,14764168
43,760,13660000
44,760,1400011
45,760,
46,760,14024668
47,760,14044099
48,760,13662218
49,760,13682736
