0,entity,Domain,Conditions,Wet,day,,,,,,,,,,
8,842,Boston,Partly Cloudy,42,1,,,,,,,,,,
15,842,Boston,Mostly Clear,42,1,,,,,,,,,,
11,842,Boston,Partly Cloudy,42,1,,,,,,,,,,
12,842,Boston,Partly Cloudy,42,1,,,,,,,,,,
1,843,Boston,Partly Cloudy,,1,,,,,,,,,,
2,843,Boston,Overcast,46,1,,,,,,,,,,
3,843,Boston,Overcast,45,1,,,,,,,,,,
4,843,Boston,Overcast,46,1,,,,,,,,,,
5,843,Boston,Cloudy,44,1,,,,,,,,,,
6,843,Boston,Overcast,46,1,,,,,,,,,,
8,843,Boston,Partly Cloudy,42,1,,,,,,,,,,
15,843,Boston,Cloudy,44,1,,,,,,,,,,
11,843,Boston,Cloudy,44,1,,,,,,,,,,
12,843,Boston,Cloudy,44,1,,,,,,,,,,
1,844,Boston,Cloudy,,1,,,,,,,,,,
2,844,Boston,Overcast,46,1,,,,,,,,,,
3,844,Boston,Overcast,45,1,,,,,,,,,,
4,844,Boston,Overcast,46,1,,,,,,,,,,
5,844,Boston,Cloudy,44,1,,,,,,,,,,
6,844,Boston,Overcast,46,1,,,,,,,,,,
8,844,Boston,Cloudy,44,1,,,,,,,,,,
15,844,Boston,Cloudy,44,1,,,,,,,,,,
11,844,Boston,Cloudy,44,1,,,,,,,,,,
12,844,Boston,Cloudy,44,1,,,,,,,,,,
1,845,Boston,Cloudy,,1,,,,,,,,,,
2,845,Boston,Overcast,46,1,,,,,,,,,,
3,845,Boston,Overcast,45,1,,,,,,,,,,
4,845,Boston,Overcast,46,1,,,,,,,,,,
5,845,Boston,Cloudy,44,1,,,,,,,,,,
6,845,Boston,Overcast,46,1,,,,,,,,,,
8,845,Boston,Cloudy,44,1,,,,,,,,,,
15,845,Boston,Cloudy,44,1,,,,,,,,,,
11,845,Boston,Cloudy,44,1,,,,,,,,,,
12,845,Boston,Cloudy,44,1,,,,,,,,,,
1,846,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,846,Boston,Mostly Cloudy,46,1,,,,,,,,,,
3,846,Boston,Mostly Cloudy,49,1,,,,,,,,,,
4,846,Boston,Mostly Cloudy,46,1,,,,,,,,,,
5,846,Boston,Mostly Cloudy,48,1,,,,,,,,,,
6,846,Boston,Mostly Cloudy,46,1,,,,,,,,,,
8,846,Boston,Mostly Cloudy,48,1,,,,,,,,,,
15,846,Boston,Mostly Cloudy,48,1,,,,,,,,,,
11,846,Boston,Mostly Cloudy,48,1,,,,,,,,,,
12,846,Boston,Mostly Cloudy,48,1,,,,,,,,,,
1,847,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,847,Boston,Partly Cloudy,46,1,,,,,,,,,,
3,847,Boston,Partly Cloudy,49,1,,,,,,,,,,
4,847,Boston,Partly Cloudy,46,1,,,,,,,,,,
5,847,Boston,Partly Cloudy,48,1,,,,,,,,,,
6,847,Boston,Mostly Cloudy,46,1,,,,,,,,,,
8,847,Boston,Mostly Cloudy,48,1,,,,,,,,,,
15,847,Boston,Few Clouds,48,1,,,,,,,,,,
11,847,Boston,Partly Cloudy,48,1,,,,,,,,,,
12,847,Boston,Partly Cloudy,48,1,,,,,,,,,,
1,848,Boston,Partly Cloudy,,1,,,,,,,,,,
2,848,Boston,Partly Cloudy,46,1,,,,,,,,,,
3,848,Boston,Partly Cloudy,49,1,,,,,,,,,,
4,848,Boston,Partly Cloudy,50,1,,,,,,,,,,
5,848,Boston,Partly Cloudy,48,1,,,,,,,,,,
6,848,Boston,Partly Cloudy,46,1,,,,,,,,,,
8,848,Boston,Partly Cloudy,48,1,,,,,,,,,,
15,848,Boston,Few Clouds,50,1,,,,,,,,,,
11,848,Boston,Partly Cloudy,48,1,,,,,,,,,,
12,848,Boston,Partly Cloudy,48,1,,,,,,,,,,
1,849,Boston,Partly Cloudy,,1,,,,,,,,,,
2,849,Boston,Partly Cloudy,50,1,,,,,,,,,,
3,849,Boston,Partly Cloudy,51,1,,,,,,,,,,
4,849,Boston,Partly Cloudy,54,1,,,,,,,,,,
5,849,Boston,Partly Cloudy,50,1,,,,,,,,,,
6,849,Boston,Partly Cloudy,50,1,,,,,,,,,,
8,849,Boston,Partly Cloudy,50,1,,,,,,,,,,
15,849,Boston,Few Clouds,50,1,,,,,,,,,,
11,849,Boston,Partly Cloudy,50,1,,,,,,,,,,
12,849,Boston,Partly Cloudy,50,1,,,,,,,,,,
1,850,Boston,Fair,,1,,,,,,,,,,
2,850,Boston,Partly Cloudy,50,1,,,,,,,,,,
3,850,Boston,Clear,53,1,,,,,,,,,,
4,850,Boston,Clear,54,1,,,,,,,,,,
5,850,Boston,Clear,52,1,,,,,,,,,,
6,850,Boston,Clear,54,1,,,,,,,,,,
8,850,Boston,Partly Cloudy,50,1,,,,,,,,,,
15,850,Boston,Clear,53,1,,,,,,,,,,
11,850,Boston,Clear,52,1,,,,,,,,,,
12,850,Boston,Clear,52,1,,,,,,,,,,
1,851,Boston,Partly Cloudy,,1,,,,,,,,,,
2,851,Boston,Clear,54,1,,,,,,,,,,
3,851,Boston,Partly Cloudy,55,1,,,,,,,,,,
4,851,Boston,Partly Cloudy,54,1,,,,,,,,,,
5,851,Boston,Clear,52,1,,,,,,,,,,
6,851,Boston,Partly Cloudy,54,1,,,,,,,,,,
8,851,Boston,Clear,52,1,,,,,,,,,,
15,851,Boston,Few Clouds,55,1,,,,,,,,,,
11,851,Boston,Partly Cloudy,54,1,,,,,,,,,,
12,851,Boston,Partly Cloudy,54,1,,,,,,,,,,
1,852,Boston,Partly Cloudy,,1,,,,,,,,,,
2,852,Boston,Partly Cloudy,54,1,,,,,,,,,,
3,852,Boston,Partly Cloudy,55,1,,,,,,,,,,
4,852,Boston,Partly Cloudy,54,1,,,,,,,,,,
5,852,Boston,Partly Cloudy,54,1,,,,,,,,,,
6,852,Boston,Partly Cloudy,54,1,,,,,,,,,,
8,852,Boston,Partly Cloudy,54,1,,,,,,,,,,
15,852,Boston,Mostly Clear,55,1,,,,,,,,,,
11,852,Boston,Partly Cloudy,54,1,,,,,,,,,,
12,852,Boston,Partly Cloudy,54,1,,,,,,,,,,
1,853,Boston,Partly Cloudy,,1,,,,,,,,,,
2,853,Boston,Partly Cloudy,54,1,,,,,,,,,,
3,853,Boston,Scattered Clouds,55,1,,,,,,,,,,
4,853,Boston,Scattered Clouds,54,1,,,,,,,,,,
5,853,Boston,Partly Sunny,54,1,,,,,,,,,,
6,853,Boston,Partly Cloudy,54,1,,,,,,,,,,
8,853,Boston,Partly Cloudy,54,1,,,,,,,,,,
15,853,Boston,Mostly Clear,55,1,,,,,,,,,,
11,853,Boston,Partly Sunny,54,1,,,,,,,,,,
12,853,Boston,Partly Sunny,54,1,,,,,,,,,,
1,854,Boston,Partly Cloudy,,1,,,,,,,,,,
2,854,Boston,Partly Cloudy,54,1,,,,,,,,,,
3,854,Boston,Scattered Clouds,55,1,,,,,,,,,,
4,854,Boston,Scattered Clouds,54,1,,,,,,,,,,
5,854,Boston,Partly Sunny,55,1,,,,,,,,,,
6,854,Boston,Partly Cloudy,54,1,,,,,,,,,,
8,854,Boston,Partly Sunny,54,1,,,,,,,,,,
15,854,Boston,Mostly Clear,55,1,,,,,,,,,,
11,854,Boston,Partly Sunny,55,1,,,,,,,,,,
12,854,Boston,Partly Sunny,55,1,,,,,,,,,,
1,855,Boston,Partly Cloudy,,1,,,,,,,,,,
2,855,Boston,Partly Cloudy,54,1,,,,,,,,,,
3,855,Boston,Scattered Clouds,53,1,,,,,,,,,,
4,855,Boston,Scattered Clouds,50,1,,,,,,,,,,
5,855,Boston,Partly Sunny,55,1,,,,,,,,,,
6,855,Boston,Partly Cloudy,54,1,,,,,,,,,,
8,855,Boston,Partly Sunny,55,1,,,,,,,,,,
15,855,Boston,Mostly Clear,52,1,,,,,,,,,,
11,855,Boston,Partly Sunny,52,1,,,,,,,,,,
12,855,Boston,Partly Sunny,55,1,,,,,,,,,,
1,856,Boston,Partly Cloudy,,1,,,,,,,,,,
2,856,Boston,Partly Cloudy,50,1,,,,,,,,,,
3,856,Boston,Scattered Clouds,53,1,,,,,,,,,,
4,856,Boston,Scattered Clouds,50,1,,,,,,,,,,
5,856,Boston,Partly Sunny,52,1,,,,,,,,,,
6,856,Boston,Partly Cloudy,50,1,,,,,,,,,,
8,856,Boston,Partly Sunny,52,1,,,,,,,,,,
15,856,Boston,Mostly Clear,52,1,,,,,,,,,,
11,856,Boston,Partly Sunny,52,1,,,,,,,,,,
12,856,Boston,Partly Sunny,52,1,,,,,,,,,,
1,857,Boston,Partly Cloudy,,1,,,,,,,,,,
2,857,Boston,Partly Cloudy,43,1,,,,,,,,,,
3,857,Boston,Scattered Clouds,43,1,,,,,,,,,,
4,857,Boston,Scattered Clouds,43,1,,,,,,,,,,
5,857,Boston,Partly Sunny,42,1,,,,,,,,,,
6,857,Boston,Partly Cloudy,43,1,,,,,,,,,,
8,857,Boston,Partly Sunny,42,1,,,,,,,,,,
15,857,Boston,Mostly Clear,43,1,,,,,,,,,,
11,857,Boston,Partly Sunny,42,1,,,,,,,,,,
12,857,Boston,Partly Sunny,42,1,,,,,,,,,,
1,858,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,858,Boston,Mostly Cloudy,43,1,,,,,,,,,,
3,858,Boston,Mostly Cloudy,41,1,,,,,,,,,,
4,858,Boston,Mostly Cloudy,43,1,,,,,,,,,,
5,858,Boston,Intermittent Clouds,41,1,,,,,,,,,,
6,858,Boston,Mostly Cloudy,43,1,,,,,,,,,,
8,858,Boston,Partly Sunny,42,1,,,,,,,,,,
15,858,Boston,Mostly Cloudy,41,1,,,,,,,,,,
11,858,Boston,Clouds And Sun,41,1,,,,,,,,,,
1,859,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,859,Boston,Overcast,43,1,,,,,,,,,,
3,859,Boston,Overcast,41,1,,,,,,,,,,
4,859,Boston,Overcast,40,1,,,,,,,,,,
5,859,Boston,Cloudy,41,1,,,,,,,,,,
6,859,Boston,Mostly Cloudy,43,1,,,,,,,,,,
8,859,Boston,Intermittent Clouds,41,1,,,,,,,,,,
15,859,Boston,Cloudy,41,1,,,,,,,,,,
11,859,Boston,Cloudy,41,1,,,,,,,,,,
12,859,Boston,Cloudy,41,1,,,,,,,,,,
1,860,Boston,Cloudy,,1,,,,,,,,,,
2,860,Boston,Overcast,43,1,,,,,,,,,,
3,860,Boston,Overcast,40,1,,,,,,,,,,
4,860,Boston,Overcast,43,1,,,,,,,,,,
5,860,Boston,Cloudy,41,1,,,,,,,,,,
6,860,Boston,Overcast,43,1,,,,,,,,,,
8,860,Boston,Cloudy,41,1,,,,,,,,,,
15,860,Boston,Cloudy,39,1,,,,,,,,,,
11,860,Boston,Cloudy,39,1,,,,,,,,,,
12,860,Boston,Cloudy,41,1,,,,,,,,,,
1,861,Boston,Cloudy,,1,,,,,,,,,,
2,861,Boston,Overcast,40,1,,,,,,,,,,
3,861,Boston,Overcast,40,1,,,,,,,,,,
4,861,Boston,Overcast,46,1,,,,,,,,,,
5,861,Boston,Cloudy,39,1,,,,,,,,,,
6,861,Boston,Overcast,40,1,,,,,,,,,,
8,861,Boston,Cloudy,39,1,,,,,,,,,,
15,861,Boston,Cloudy,39,1,,,,,,,,,,
11,861,Boston,Cloudy,39,1,,,,,,,,,,
12,861,Boston,Cloudy,39,1,,,,,,,,,,
1,862,Boston,Cloudy,,1,,,,,,,,,,
2,862,Boston,Overcast,43,1,,,,,,,,,,
3,862,Boston,Overcast,43,1,,,,,,,,,,
4,862,Boston,Overcast,43,1,,,,,,,,,,
5,862,Boston,Cloudy,43,1,,,,,,,,,,
6,862,Boston,Overcast,43,1,,,,,,,,,,
8,862,Boston,Cloudy,39,1,,,,,,,,,,
15,862,Boston,Cloudy,43,1,,,,,,,,,,
11,862,Boston,Cloudy,43,1,,,,,,,,,,
12,862,Boston,Cloudy,43,1,,,,,,,,,,
1,863,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,863,Boston,Mostly Cloudy,43,1,,,,,,,,,,
3,863,Boston,Mostly Cloudy,45,1,,,,,,,,,,
4,863,Boston,Mostly Cloudy,43,1,,,,,,,,,,
5,863,Boston,Intermittent Clouds,44,1,,,,,,,,,,
6,863,Boston,Mostly Cloudy,43,1,,,,,,,,,,
8,863,Boston,Intermittent Clouds,44,1,,,,,,,,,,
15,863,Boston,Mostly Cloudy,45,1,,,,,,,,,,
11,863,Boston,Clouds And Sun,44,1,,,,,,,,,,
1,864,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,864,Boston,Overcast,43,1,,,,,,,,,,
3,864,Boston,Overcast,45,1,,,,,,,,,,
4,864,Boston,Overcast,47,1,,,,,,,,,,
5,864,Boston,Cloudy,44,1,,,,,,,,,,
6,864,Boston,Overcast,43,1,,,,,,,,,,
8,864,Boston,Intermittent Clouds,44,1,,,,,,,,,,
15,864,Boston,Cloudy,45,1,,,,,,,,,,
11,864,Boston,Cloudy,44,1,,,,,,,,,,
12,864,Boston,Cloudy,44,1,,,,,,,,,,
1,865,Boston,Cloudy,,1,,,,,,,,,,
2,865,Boston,Overcast,43,1,,,,,,,,,,
3,865,Boston,Overcast,54,1,,,,,,,,,,
4,865,Boston,Overcast,50,1,,,,,,,,,,
5,865,Boston,Cloudy,44,1,,,,,,,,,,
6,865,Boston,Overcast,43,1,,,,,,,,,,
8,865,Boston,Cloudy,44,1,,,,,,,,,,
15,865,Boston,Cloudy,53,1,,,,,,,,,,
11,865,Boston,Cloudy,44,1,,,,,,,,,,
12,865,Boston,Cloudy,44,1,,,,,,,,,,
1,866,Boston,Cloudy,,1,,,,,,,,,,
2,866,Boston,Overcast,55,1,,,,,,,,,,
3,866,Boston,Overcast,54,1,,,,,,,,,,
4,866,Boston,Overcast,54,1,,,,,,,,,,
5,866,Boston,Cloudy,53,1,,,,,,,,,,
6,866,Boston,Overcast,55,1,,,,,,,,,,
8,866,Boston,Cloudy,53,1,,,,,,,,,,
15,866,Boston,Cloudy,53,1,,,,,,,,,,
11,866,Boston,Cloudy,53,1,,,,,,,,,,
12,866,Boston,Cloudy,53,1,,,,,,,,,,
1,899,Boston,Cloudy,,1,,,,,,,,,,
2,899,Boston,Overcast,47,1,,,,,,,,,,
3,899,Boston,Overcast,47,1,,,,,,,,,,
4,899,Boston,Overcast,43,1,,,,,,,,,,
5,899,Boston,Cloudy,46,1,,,,,,,,,,
6,899,Boston,Overcast,47,1,,,,,,,,,,
8,899,Boston,Cloudy,53,1,,,,,,,,,,
15,899,Boston,Cloudy,47,1,,,,,,,,,,
11,899,Boston,Cloudy,46,1,,,,,,,,,,
12,899,Boston,Cloudy,46,1,,,,,,,,,,
1,900,Boston,Cloudy,,1,,,,,,,,,,
2,900,Boston,Mostly Cloudy,47,1,,,,,,,,,,
3,900,Boston,Mostly Cloudy,49,1,,,,,,,,,,
4,900,Boston,Mostly Cloudy,46,1,,,,,,,,,,
5,900,Boston,Intermittent Clouds,48,1,,,,,,,,,,
6,900,Boston,Mostly Cloudy,47,1,,,,,,,,,,
8,900,Boston,Cloudy,53,1,,,,,,,,,,
15,900,Boston,Mostly Cloudy,48,1,,,,,,,,,,
11,900,Boston,Some Clouds,48,1,,,,,,,,,,
1,901,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,901,Boston,Mostly Cloudy,47,1,,,,,,,,,,
3,901,Boston,Mostly Cloudy,55,1,,,,,,,,,,
4,901,Boston,Mostly Cloudy,54,1,,,,,,,,,,
5,901,Boston,Intermittent Clouds,48,1,,,,,,,,,,
6,901,Boston,Mostly Cloudy,47,1,,,,,,,,,,
8,901,Boston,Intermittent Clouds,48,1,,,,,,,,,,
15,901,Boston,Mostly Cloudy,55,1,,,,,,,,,,
1,902,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,902,Boston,Mostly Cloudy,54,1,,,,,,,,,,
3,902,Boston,Mostly Cloudy,55,1,,,,,,,,,,
4,902,Boston,Mostly Cloudy,54,1,,,,,,,,,,
5,902,Boston,Intermittent Clouds,55,1,,,,,,,,,,
6,902,Boston,Mostly Cloudy,54,1,,,,,,,,,,
8,902,Boston,Intermittent Clouds,55,1,,,,,,,,,,
15,902,Boston,Mostly Cloudy,55,1,,,,,,,,,,
11,902,Boston,Some Clouds,55,1,,,,,,,,,,
1,903,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,903,Boston,Mostly Cloudy,54,1,,,,,,,,,,
3,903,Boston,Mostly Cloudy,56,1,,,,,,,,,,
4,903,Boston,Mostly Cloudy,63,1,,,,,,,,,,
5,903,Boston,Intermittent Clouds,55,1,,,,,,,,,,
6,903,Boston,Mostly Cloudy,54,1,,,,,,,,,,
8,903,Boston,Intermittent Clouds,55,1,,,,,,,,,,
15,903,Boston,Mostly Cloudy,55,1,,,,,,,,,,
11,903,Boston,Some Clouds,55,1,,,,,,,,,,
1,904,Boston,Mostly Cloudy,,1,,,,,,,,,,
2,904,Boston,Mostly Cloudy,59,1,,,,,,,,,,
3,904,Boston,Mostly Cloudy,60,1,,,,,,,,,,
4,904,Boston,Mostly Cloudy,58,1,,,,,,,,,,
5,904,Boston,Intermittent Clouds,60,1,,,,,,,,,,
6,904,Boston,Mostly Cloudy,59,1,,,,,,,,,,
8,904,Boston,Intermittent Clouds,55,1,,,,,,,,,,
15,904,Boston,Mostly Cloudy,60,1,,,,,,,,,,
11,904,Boston,Some Clouds,60,1,,,,,,,,,,
1,905,Boston,Cloudy,,1,,,,,,,,,,
2,905,Boston,Mostly Cloudy,59,1,,,,,,,,,,
3,905,Boston,Overcast,60,1,,,,,,,,,,
4,905,Boston,Overcast,58,1,,,,,,,,,,
5,905,Boston,Cloudy,60,1,,,,,,,,,,
6,905,Boston,Mostly Cloudy,59,1,,,,,,,,,,
8,905,Boston,Intermittent Clouds,60,1,,,,,,,,,,
15,905,Boston,Cloudy,60,1,,,,,,,,,,
11,905,Boston,Cloudy,60,1,,,,,,,,,,
12,905,Boston,Cloudy,60,1,,,,,,,,,,
1,906,Boston,Cloudy,,1,,,,,,,,,,
2,906,Boston,Overcast,59,1,,,,,,,,,,
3,906,Boston,Overcast,63,1,,,,,,,,,,
4,906,Boston,Overcast,63,1,,,,,,,,,,
5,906,Boston,Cloudy,60,1,,,,,,,,,,
6,906,Boston,Overcast,59,1,,,,,,,,,,
8,906,Boston,Cloudy,60,1,,,,,,,,,,
15,906,Boston,Cloudy,63,1,,,,,,,,,,
11,906,Boston,Cloudy,60,1,,,,,,,,,,
12,906,Boston,Cloudy,60,1,,,,,,,,,,
1,907,Boston,Cloudy,,1,,,,,,,,,,
2,907,Boston,Overcast,64,1,,,,,,,,,,
3,907,Boston,Overcast,63,1,,,,,,,,,,
4,907,Boston,Overcast,63,1,,,,,,,,,,
5,907,Boston,Cloudy,63,1,,,,,,,,,,
6,907,Boston,Overcast,64,1,,,,,,,,,,
8,907,Boston,Cloudy,60,1,,,,,,,,,,
15,907,Boston,Cloudy,63,1,,,,,,,,,,
11,907,Boston,Cloudy,63,1,,,,,,,,,,
12,907,Boston,Cloudy,63,1,,,,,,,,,,
1,908,Boston,Cloudy,,1,,,,,,,,,,
2,908,Boston,Overcast,69,1,,,,,,,,,,
3,908,Boston,Overcast,66,1,,,,,,,,,,
4,908,Boston,Overcast,63,1,,,,,,,,,,
5,908,Boston,Cloudy,66,1,,,,,,,,,,
6,908,Boston,Overcast,69,1,,,,,,,,,,
8,908,Boston,Cloudy,63,1,,,,,,,,,,
15,908,Boston,Cloudy,66,1,,,,,,,,,,
11,908,Boston,Cloudy,66,1,,,,,,,,,,
12,908,Boston,Cloudy,66,1,,,,,,,,,,
1,909,Boston,Cloudy,,1,,,,,,,,,,
2,909,Boston,Overcast,69,1,,,,,,,,,,
3,909,Boston,Overcast,66,1,,,,,,,,,,
4,909,Boston,Overcast,68,1,,,,,,,,,,
5,909,Boston,Cloudy,66,1,,,,,,,,,,
6,909,Boston,Overcast,69,1,,,,,,,,,,
8,909,Boston,Cloudy,66,1,,,,,,,,,,
15,909,Boston,Cloudy,66,1,,,,,,,,,,
11,909,Boston,Cloudy,66,1,,,,,,,,,,
12,909,Boston,Cloudy,66,1,,,,,,,,,,
1,910,Boston,Cloudy,,1,,,,,,,,,,
2,910,Boston,Light Snow,69,1,,,,,,,,,,
3,910,Boston,Light Snow,75,1,,,,,,,,,,
4,910,Boston,Light Snow,68,1,,,,,,,,,,
5,910,Boston,Flurries,68,1,,,,,,,,,,
6,910,Boston,Snow,74,1,,,,,,,,,,
8,910,Boston,Cloudy,66,1,,,,,,,,,,
15,910,Boston,Light Snow,74,1,,,,,,,,,,
11,910,Boston,Light Snow,68,1,,,,,,,,,,
12,910,Boston,Light Snow,68,1,,,,,,,,,,
1,911,Boston,Light Snow,,1,,,,,,,,,,
2,911,Boston,Light Snow,74,1,,,,,,,,,,
3,911,Boston,Light Snow,74,1,,,,,,,,,,
4,911,Boston,Light Snow,74,1,,,,,,,,,,
5,911,Boston,Flurries,74,1,,,,,,,,,,
6,911,Boston,Snow,74,1,,,,,,,,,,
8,911,Boston,Flurries,74,1,,,,,,,,,,
15,911,Boston,Light Snow,80,1,,,,,,,,,,
11,911,Boston,Light Snow,74,1,,,,,,,,,,
12,911,Boston,Light Snow,74,1,,,,,,,,,,
1,912,Boston,Light Snow,,1,,,,,,,,,,
2,912,Boston,Light Snow,80,1,,,,,,,,,,
3,912,Boston,Light Snow,81,1,,,,,,,,,,
4,912,Boston,Light Snow Mist,80,1,,,,,,,,,,
5,912,Boston,Flurries,81,1,,,,,,,,,,
6,912,Boston,Snow,80,1,,,,,,,,,,
8,912,Boston,Flurries,81,1,,,,,,,,,,
11,912,Boston,Lgt.Snow/Fog,81,1,,,,,,,,,,
12,912,Boston,Light Snow/Fog,81,1,,,,,,,,,,
1,913,Boston,Light Snow,,1,,,,,,,,,,
2,913,Boston,Light Snow,80,1,,,,,,,,,,
3,913,Boston,Light Snow,84,1,,,,,,,,,,
4,913,Boston,Light Snow Mist,80,1,,,,,,,,,,
5,913,Boston,Flurries,81,1,,,,,,,,,,
6,913,Boston,Snow,80,1,,,,,,,,,,
8,913,Boston,Flurries,81,1,,,,,,,,,,
11,913,Boston,Lgt.Snow/Fog,81,1,,,,,,,,,,
12,913,Boston,Light Snow/Fog,84,1,,,,,,,,,,
1,914,Boston,Light Snow,,1,,,,,,,,,,
2,914,Boston,Light Snow,80,1,,,,,,,,,,
3,914,Boston,Light Snow,84,1,,,,,,,,,,
4,914,Boston,Light Snow Mist,80,1,,,,,,,,,,
5,914,Boston,Flurries,84,1,,,,,,,,,,
6,914,Boston,Snow,80,1,,,,,,,,,,
8,914,Boston,Flurries,84,1,,,,,,,,,,
11,914,Boston,Lgt.Snow/Fog,84,1,,,,,,,,,,
12,914,Boston,Light Snow/Fog,84,1,,,,,,,,,,
1,915,Boston,Light Snow,,1,,,,,,,,,,
2,915,Boston,Light Snow,80,1,,,,,,,,,,
3,915,Boston,Light Snow,84,1,,,,,,,,,,
4,915,Boston,Light Snow Mist,80,1,,,,,,,,,,
5,915,Boston,Flurries,84,1,,,,,,,,,,
6,915,Boston,Snow,80,1,,,,,,,,,,
8,915,Boston,Flurries,84,1,,,,,,,,,,
15,915,Boston,"Light Snow, Mist",84,1,,,,,,,,,,
11,915,Boston,Lgt.Snow/Fog,84,1,,,,,,,,,,
12,915,Boston,Light Snow/Fog,84,1,,,,,,,,,,
1,916,Boston,Light Snow,,1,,,,,,,,,,
2,916,Boston,Light Snow,80,1,,,,,,,,,,
3,916,Boston,Light Snow,84,1,,,,,,,,,,
4,916,Boston,Light Snow Mist,80,1,,,,,,,,,,
5,916,Boston,Flurries,84,1,,,,,,,,,,
6,916,Boston,Snow,80,1,,,,,,,,,,
8,916,Boston,Flurries,84,1,,,,,,,,,,
11,916,Boston,Lgt.Snow/Fog,84,1,,,,,,,,,,
12,916,Boston,Light Snow/Fog,84,1,,,,,,,,,,
1,917,Boston,Light Snow,,1,,,,,,,,,,
2,917,Boston,Light Snow,86,1,,,,,,,,,,
3,917,Boston,Light Snow,88,1,,,,,,,,,,
4,917,Boston,Light Snow Mist,86,1,,,,,,,,,,
5,917,Boston,Flurries,88,1,,,,,,,,,,
6,917,Boston,Snow,86,1,,,,,,,,,,
8,917,Boston,Flurries,88,1,,,,,,,,,,
11,917,Boston,Lgt.Snow/Fog,88,1,,,,,,,,,,
12,917,Boston,Light Snow/Fog,88,1,,,,,,,,,,
1,918,Boston,Light Snow,,1,,,,,,,,,,
2,918,Boston,Light Snow,93,1,,,,,,,,,,
3,918,Boston,Light Snow,92,1,,,,,,,,,,
4,918,Boston,Light Snow Mist,93,1,,,,,,,,,,
5,918,Boston,Flurries,92,1,,,,,,,,,,
6,918,Boston,Snow,93,1,,,,,,,,,,
8,918,Boston,Flurries,92,1,,,,,,,,,,
11,918,Boston,Lgt.Snow/Fog,92,1,,,,,,,,,,
12,918,Boston,Light Snow/Fog,92,1,,,,,,,,,,
1,919,Boston,Light Snow,,1,,,,,,,,,,
2,919,Boston,Light Snow,86,1,,,,,,,,,,
3,919,Boston,Light Snow,86,1,,,,,,,,,,
4,919,Boston,Light Snow Mist,86,1,,,,,,,,,,
5,919,Boston,Flurries,87,1,,,,,,,,,,
6,919,Boston,Snow,86,1,,,,,,,,,,
8,919,Boston,Flurries,92,1,,,,,,,,,,
11,919,Boston,Light Snow,87,1,,,,,,,,,,
12,919,Boston,Light Snow,87,1,,,,,,,,,,
1,920,Boston,Light Snow,,1,,,,,,,,,,
2,920,Boston,Light Snow,80,1,,,,,,,,,,
3,920,Boston,Light Snow,80,1,,,,,,,,,,
4,920,Boston,Light Snow,80,1,,,,,,,,,,
5,920,Boston,Flurries,80,1,,,,,,,,,,
6,920,Boston,Snow,80,1,,,,,,,,,,
8,920,Boston,Flurries,80,1,,,,,,,,,,
15,920,Boston,Light Snow,80,1,,,,,,,,,,
11,920,Boston,Light Snow,80,1,,,,,,,,,,
12,920,Boston,Light Snow,80,1,,,,,,,,,,
1,921,Boston,Light Snow,,1,,,,,,,,,,
2,921,Boston,Light Snow,80,1,,,,,,,,,,
3,921,Boston,Light Snow,80,1,,,,,,,,,,
4,921,Boston,Light Snow,80,1,,,,,,,,,,
5,921,Boston,Flurries,81,1,,,,,,,,,,
6,921,Boston,Snow,80,1,,,,,,,,,,
8,921,Boston,Flurries,80,1,,,,,,,,,,
15,921,Boston,Light Snow,80,1,,,,,,,,,,
11,921,Boston,Light Snow,80,1,,,,,,,,,,
12,921,Boston,Light Snow,80,1,,,,,,,,,,
1,922,Boston,Light Snow,,1,,,,,,,,,,
2,922,Boston,Light Snow,80,1,,,,,,,,,,
3,922,Boston,Overcast,76,1,,,,,,,,,,
4,922,Boston,Overcast,74,1,,,,,,,,,,
5,922,Boston,Flurries,80,1,,,,,,,,,,
6,922,Boston,Snow,80,1,,,,,,,,,,
8,922,Boston,Flurries,80,1,,,,,,,,,,
15,922,Boston,Cloudy,75,1,,,,,,,,,,
11,922,Boston,Cloudy,75,1,,,,,,,,,,
12,922,Boston,Light Snow,80,1,,,,,,,,,,
1,923,Boston,Cloudy,,1,,,,,,,,,,
2,923,Boston,Overcast,80,1,,,,,,,,,,
3,923,Boston,Overcast,76,1,,,,,,,,,,
4,923,Boston,Overcast,74,1,,,,,,,,,,
5,923,Boston,Cloudy,75,1,,,,,,,,,,
6,923,Boston,Overcast,80,1,,,,,,,,,,
8,923,Boston,Cloudy,75,1,,,,,,,,,,
15,923,Boston,Cloudy,75,1,,,,,,,,,,
11,923,Boston,Cloudy,75,1,,,,,,,,,,
12,923,Boston,Cloudy,75,1,,,,,,,,,,
1,924,Boston,Cloudy,,1,,,,,,,,,,
2,924,Boston,Overcast,75,1,,,,,,,,,,
