0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
38,7,27,,18,3,6099,14,15,14,27,19,,89,1330000000,33,17,28,1,7
39,7,,,,,0,,,,,,,,,,,,1,7
40,7,27,19,,3,,,,,,,,88,,,,,1,7
41,7,27,19,18,3,251508,14,15,14,27,19,,,1334200,36,17,,1,7
42,7,27,19,18,3,251508,14,15,14,28,19,74997348,,,,,,1,7
43,7,27,19,18,3,245610,14,15,14,27,19,,,,,,,1,7
44,7,5,20,20,2,14217,15,16,,,,,,,,,,1,7
45,7,30,21,,4,,,,,,,,,,,,,1,7
46,7,27,19,18,3,245609,14,15,14,28,19,,84,,,,28,1,7
47,7,,19,18,3,245609,14,15,,,,,,,,,,1,7
48,7,27,19,18,3,245609,14,15,14,31,19,74997348,,1328953007,,,,1,7
49,7,27,19,18,3,245609,14,15,14,27,19,,92,1300000000,36,17,,1,7
50,7,27,19,18,3,251508,14,15,14,28,19,74997348,23,1344702450,36,17,28,1,7
51,7,27,19,18,3,245609,14,15,14,28,19,74990000000,94,1330000000,,,32,1,7
52,7,27,19,18,3,245609,14,15,,27,19,,23,1000000000,39,19,29,1,7
53,7,27,19,18,3,245609,14,15,14,28,19,,95,1340000000,39,16,31,1,7
54,7,27,21,,3,,,,,28,19,,96,1340000000,40,,33,1,7
55,7,27,19,,3,,14,15,,27,19,,97,1330000000,36,16,34,1,7
1,8,11,22,21,12,924526,16,17,,,,,,,,,,1,8
2,8,11,22,21,12,924526,16,17,16,32,21,,98,5480000000,,,35,1,8
3,8,11,22,21,12,923283,16,17,,,,125790000,,5370000000,,20,,1,8
4,8,11,22,21,12,924526,16,17,,32,21,126811000,99,5497267000,,,36,1,8
5,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
6,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
7,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
8,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
9,8,11,22,21,12,924526,16,17,16,32,21,126811225,100,5000000000,,,,1,8
10,8,11,22,21,12,924426,16,17,16,,,,100,5500000000,,,,1,8
11,8,11,22,21,12,924526,16,17,16,32,21,,100,,,,35,1,8
12,8,11,22,21,12,924526,16,17,16,32,21,126811000,101,5480000000,,,,1,8
13,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
14,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
15,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
16,8,31,22,21,12,924526,16,17,16,33,21,127000000,100,5000000000,1,1,35,1,8
17,8,11,22,,,924526,,,16,34,22,126810000,100,5500000000,,,35,1,8
18,8,11,22,21,12,921683,16,17,16,32,21,,102,5500000000,,,,1,8
19,8,,22,,12,924526,,,16,,,,,,,,,1,8
20,8,11,22,21,12,924526,16,17,,32,21,126810000,103,5500000000,,,35,1,8
21,8,11,22,21,12,923283,16,17,16,,,,,,,,,1,8
22,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
23,8,11,22,21,12,923283,16,17,,,,,104,,,,,1,8
24,8,11,22,21,12,,,,16,,,,,,,,,1,8
25,8,11,22,21,12,,16,17,,32,21,,105,5497000000,,,35,1,8
26,8,11,22,21,12,848900,16,17,16,,,126810000,101,5480000000,1,,35,1,8
27,8,11,23,21,12,2843,16,17,16,32,21,,106,5370000000,,,37,1,8
28,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
29,8,11,22,21,12,924526,16,17,16,32,21,126810000,100,5480000000,,,35,1,8
30,8,11,22,,12,924526,16,17,16,32,21,126811000,100,5497256850,,,35,1,8
31,8,11,22,21,12,924526,16,17,16,32,21,126810000,100,5500000000,,,35,1,8
32,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
33,8,11,22,21,12,924526,16,17,16,32,21,126518471,101,5484576000,,,,1,8
34,8,11,22,21,,924526,16,17,16,32,21,,105,,,1,35,1,8
35,8,11,22,,12,924526,,,,,,,,,,,,1,8
36,8,11,22,21,12,924526,16,17,17,35,21,,107,,,,38,1,8
37,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
38,8,11,,21,12,2843,16,17,16,32,21,,106,5370000000,,,37,1,8
39,8,11,22,21,12,793034,16,17,16,32,21,,103,,,,35,1,8
40,8,11,22,,12,,,,,,,,105,,,,,1,8
41,8,11,22,21,12,924526,16,17,16,32,21,,,5484600,1,1,,1,8
42,8,11,22,21,12,924526,16,17,16,32,21,126811225,,,,,,1,8
43,8,11,22,22,12,924430,16,17,16,32,21,,,,,,,1,8
44,8,5,24,23,2,124556,17,18,,,,,,,,,,1,8
45,8,32,25,,13,,,,,,,,,,,,,1,8
46,8,11,22,21,12,924526,16,17,16,32,21,,100,,,,35,1,8
47,8,,22,21,12,924526,16,17,,,,,,,,,,1,8
48,8,11,22,22,12,924426,16,17,16,36,21,126811225,,5370455379,,,,1,8
49,8,11,22,21,12,924526,16,17,16,32,21,,42,5400000000,1,1,,1,8
50,8,11,22,21,12,924526,16,17,16,32,21,126811225,42,5497266604,,,35,1,8
51,8,11,22,21,12,921683,16,17,16,32,21,1.27E+11,108,5480000000,,,38,1,8
52,8,11,22,21,12,923283,16,17,,32,21,,42,5000000000,,,39,1,8
53,8,11,22,21,12,924526,16,17,16,32,21,,45,5500000000,,,35,1,8
54,8,32,25,,13,,,,,32,21,,109,5480000000,1,,35,1,8
55,8,11,22,,12,,16,17,,32,21,,110,5480000000,1,1,40,1,8
1,9,33,26,24,14,582592,18,19,,,,,,,,,,1,9
2,9,33,26,24,14,582592,18,19,18,37,23,,111,1390000000,41,21,41,1,9
3,9,33,26,24,14,581326,18,19,,,,58820000,,738530000,42,22,,1,9
4,9,33,26,24,14,582592,18,19,,37,24,32222000,112,765284000,42,22,42,1,9
5,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
6,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
7,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
8,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
9,9,33,26,24,14,582592,18,19,18,38,24,32222488,113,765000000,43,21,,1,9
10,9,33,26,25,14,581326,18,19,18,,,,114,765300000,42,,,1,9
11,9,33,26,24,14,582592,18,19,18,38,24,,113,,,,21,1,9
12,9,33,26,24,14,582592,18,19,18,38,24,32222000,115,763980000,42,22,,1,9
13,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
14,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
15,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
16,9,31,26,24,14,582592,18,19,18,39,24,32000000,116,765000000,44,21,41,1,9
17,9,33,26,,,581326,,,18,40,25,32220000,117,765230000,,21,41,1,9
18,9,33,26,24,14,581326,18,19,18,39,24,,118,765280000,45,21,,1,9
19,9,,26,,14,582701,,,18,,,,,,,,,1,9
20,9,33,26,24,14,582592,18,19,,37,24,32220000,119,765280000,42,22,41,1,9
21,9,33,26,24,14,576292,18,19,18,,,,,,,,,1,9
22,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
23,9,33,26,24,14,582592,18,19,,,,,120,,,,,1,9
24,9,33,26,24,14,,,,18,,,,,,,,,1,9
25,9,33,26,26,14,,18,19,,38,24,,121,765300000,,,20,1,9
26,9,33,26,26,14,573000,18,20,18,,,32220000,115,760000000,42,,41,1,9
27,9,33,26,24,14,7623,18,19,18,37,24,,122,738530000,42,23,21,1,9
28,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
29,9,33,26,24,14,582592,18,19,18,38,24,32220000,123,764000000,42,21,41,1,9
30,9,33,26,24,14,582592,18,19,18,38,24,32222000,117,765272500,42,21,41,1,9
31,9,33,26,24,14,582592,18,19,18,38,24,32220000,114,765300000,42,21,21,1,9
32,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
33,9,33,26,24,14,582592,18,19,18,38,24,32167731,124,763984000,,22,,1,9
34,9,33,26,26,,582701,18,19,18,38,24,,121,,42,21,20,1,9
35,9,33,26,,14,582592,,,,,,,,,,,,1,9
36,9,33,26,24,14,582592,18,19,19,38,24,,113,,,,21,1,9
37,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
38,9,33,,24,14,7623,18,19,18,37,24,,122,738530000,42,23,21,1,9
39,9,,,,,0,,,,,,,,,,,,1,9
40,9,33,26,,14,,,,,,,,121,,,,,1,9
41,9,33,26,24,14,582592,18,19,18,38,24,,,764000,42,23,,1,9
42,9,33,26,24,14,582592,18,19,18,38,24,32222488,,,,,,1,9
43,9,33,26,24,14,581330,18,19,18,38,24,,,,,,,1,9
44,9,5,27,27,2,59891,19,21,,,,,,,,,,1,9
45,9,33,26,,14,,,,,,,,,,,,,1,9
46,9,33,26,24,14,582592,18,19,18,38,24,,113,,,,21,1,9
47,9,,26,26,14,582592,18,19,,,,,,,,,,1,9
48,9,33,26,24,14,581326,18,19,18,41,24,32222488,,738539425,,,,1,9
49,9,33,26,24,14,581326,18,19,18,38,24,,125,1300000000,42,22,,1,9
50,9,33,26,24,14,582701,18,19,18,38,24,32222488,126,765284090,42,22,21,1,9
51,9,33,26,24,14,574969,18,19,18,38,24,32220000000,127,764000000,,,20,1,9
52,9,33,26,24,14,576292,18,19,,38,24,,126,764000000,44,21,43,1,9
53,9,33,26,26,14,582592,18,19,18,37,24,,128,765270000,44,21,20,1,9
54,9,33,26,,14,,,,,38,24,,123,1390000000,44,,20,1,9
55,9,33,26,,14,,18,19,,37,24,,129,763980000,42,21,44,1,9
1,10,34,28,28,15,156811,20,22,,,,,,,,,,1,10
2,10,34,28,28,15,166102,20,22,20,42,26,,130,847270000,,,45,1,10
3,10,34,28,28,15,156511,20,22,,,,22080000,,830480000,,,,1,10
4,10,34,28,28,15,156511,20,22,,42,26,21924000,131,841651000,,,46,1,10
5,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
6,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
7,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
8,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
9,10,34,28,28,15,156511,20,22,20,43,26,21923703,132,842000000,,,,1,10
10,10,34,28,28,15,156511,20,22,20,,,,132,841700000,,,,1,10
11,10,35,28,28,15,156511,20,22,20,42,26,,132,,,,47,1,10
12,10,34,28,28,15,156511,20,22,20,42,26,21924000,133,827850000,,,,1,10
13,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
14,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
15,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
16,10,36,28,28,15,156511,20,22,20,42,26,22000000,134,842000000,1,1,45,1,10
17,10,34,28,,,156511,,,20,44,27,21920000,87,827700000,,,47,1,10
18,10,34,28,28,15,153692,20,22,20,42,26,,23,841650000,,,,1,10
19,10,,28,,15,157372,,,20,,,,,,,,,1,10
20,10,34,28,28,15,156511,20,22,,42,26,21920000,135,841650000,,,47,1,10
21,10,34,28,28,15,153692,20,22,20,,,,,,,,,1,10
22,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
23,10,34,28,28,15,156511,20,22,,,,,136,,,,,1,10
24,10,34,28,28,15,,,,20,,,,,,,,,1,10
25,10,34,28,29,15,,20,22,,42,26,,87,841600000,,,47,1,10
26,10,34,28,29,15,151800,20,22,20,,,21920000,87,830000000,1,,47,1,10
27,10,34,28,28,15,2919,20,22,20,42,26,,137,830480000,,,48,1,10
28,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
29,10,34,28,28,15,156511,20,22,20,42,26,21920000,132,827840000,,,47,1,10
30,10,34,28,28,15,156511,20,22,20,42,26,21924000,138,841662360,,,45,1,10
31,10,34,28,28,15,156511,20,22,20,42,26,21920000,132,841700000,,,47,1,10
32,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
33,10,34,28,28,15,156511,20,22,20,42,26,21564215,87,827850000,,,,1,10
34,10,34,28,29,,157372,20,22,20,42,26,,87,,,1,47,1,10
35,10,34,28,,15,156511,,,,,,,,,,,,1,10
36,10,34,28,28,15,156511,20,22,21,42,26,,139,,,,49,1,10
37,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
38,10,34,,28,15,2919,20,22,20,42,26,,137,830480000,,,48,1,10
39,10,,,,,0,,,,,,,,,,,,1,10
40,10,34,28,,15,,,,,,,,87,,,,,1,10
41,10,34,28,28,15,156511,20,22,20,42,26,,,827800,1,1,,1,10
42,10,34,28,28,15,156511,20,22,20,43,26,21923703,,,,,,1,10
43,10,34,28,28,15,156510,20,22,20,42,26,,,,,,,1,10
44,10,5,29,30,2,14917,21,23,,,,,,,,,,1,10
45,10,34,28,,15,,,,,,,,,,,,,1,10
46,10,34,28,28,15,156511,20,22,20,42,26,,132,,,,47,1,10
47,10,,28,29,15,156511,20,22,,,,,,,,,,1,10
48,10,34,28,28,15,156511,20,22,20,45,26,21923703,,830469870,,,,1,10
49,10,34,28,28,15,153692,20,22,20,42,26,,87,834100000,1,1,,1,10
50,10,34,28,28,15,157372,20,22,20,42,26,21923703,87,841650958,,,47,1,10
51,10,34,28,28,15,152943,20,22,20,42,26,21920000000,140,828000000,,,49,1,10
52,10,34,28,28,15,153692,20,22,,42,26,,87,828000000,,,47,1,10
53,10,34,28,29,15,156511,20,22,20,42,26,,132,841620000,,,47,1,10
54,10,34,28,,15,,,,,42,26,,132,847270000,1,,47,1,10
55,10,34,28,,15,,20,22,,42,26,,105,827850000,1,1,50,1,10
1,11,37,30,31,16,41700,22,24,,,,,,,,,,1,11
2,11,37,30,31,16,47444,22,24,22,46,28,,2,193120000,,,51,1,11
3,11,37,30,31,16,41700,22,24,,,,18480000,,186240000,,24,,1,11
4,11,37,30,31,16,41700,22,24,,46,28,13402000,,191032000,,,52,1,11
5,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
6,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
7,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
8,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
9,11,37,30,31,16,41700,22,24,22,46,28,13401938,,140000000,,,,1,11
10,11,37,30,31,16,41700,22,24,22,,,,,140100000,,,,1,11
11,11,37,30,31,16,41700,22,24,22,46,28,,,,,,53,1,11
12,11,37,30,31,16,41700,22,24,22,46,28,13402000,,136700000,,,,1,11
13,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
14,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
15,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
16,11,38,30,31,16,41700,22,24,22,46,28,13000000,,140000000,1,1,,1,11
17,11,37,30,,,40974,,,22,47,29,18480000,,193120000,,,54,1,11
18,11,37,30,31,16,40974,22,24,22,46,28,,2,193110000,,,,1,11
19,11,,30,,16,41700,,,22,,,,,,,,,1,11
20,11,37,30,31,16,41700,22,24,,46,28,18480000,,193110000,,,54,1,11
21,11,37,30,31,16,38578,22,24,22,,,,,,,,,1,11
22,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
23,11,37,30,31,16,41700,22,24,,,,,,,,,,1,11
24,11,37,30,31,16,,,,22,,,,,,,,,1,11
25,11,37,30,32,16,,22,24,,46,28,,,193100000,,,51,1,11
26,11,37,30,32,16,37700,22,24,22,,,18480000,2,190000000,1,,54,1,11
27,11,37,30,31,16,3322,22,24,22,46,28,,,186240000,,,,1,11
28,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
29,11,37,30,31,16,41700,22,24,22,46,28,18480000,141,187120000,,,51,1,11
30,11,37,30,31,16,41700,22,24,22,46,28,13402000,,140050900,46,25,51,1,11
31,11,37,30,31,16,41700,22,24,22,46,28,13400000,,140100000,,,53,1,11
32,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
33,11,37,30,31,16,41700,22,24,22,46,28,13081378,142,136700000,,,,1,11
34,11,37,30,32,,41700,22,24,22,46,28,,,,,1,51,1,11
35,11,37,30,,16,41700,,,,,,,,,,,,1,11
36,11,37,30,31,16,41700,22,24,23,46,28,,,,,,53,1,11
37,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
38,11,37,,31,16,3322,22,24,22,46,28,,,186240000,,,,1,11
39,11,,,,,0,,,,,,,,,,,,1,11
40,11,37,30,,16,,,,,,,,,,,,,1,11
41,11,37,30,31,16,41700,22,24,22,46,28,,,136700,1,24,,1,11
42,11,37,30,31,16,41700,22,24,22,46,28,13401938,,,,,,1,11
43,11,37,30,31,16,40970,22,24,22,46,28,,,,,,,1,11
44,11,5,31,33,2,6706,23,25,,,,,,,,,,1,11
45,11,39,32,,17,,,,,,,,,,,,,1,11
46,11,37,30,31,16,41700,22,24,22,46,28,,,,,,53,1,11
47,11,,30,32,16,41700,22,24,,,,,,,,,,1,11
48,11,37,30,31,16,40974,22,24,22,48,30,18479684,,135761632,,,,1,11
49,11,37,30,31,16,41700,22,24,22,46,28,,143,188400000,1,1,,1,11
50,11,37,30,31,16,41700,22,24,22,46,28,18479684,,193112698,,,55,1,11
51,11,37,30,31,16,38206,22,24,22,46,28,18480000000,,188000000,,,51,1,11
52,11,37,30,31,16,38578,22,24,,46,28,,,137000000,,,56,1,11
53,11,37,30,32,16,41700,22,24,22,46,28,,,193110000,,,51,1,11
54,11,39,32,,17,,,,,46,28,,,192560000,1,,51,1,11
55,11,37,30,,16,,22,24,,46,28,,,188500000,1,1,57,1,11
1,12,40,33,34,18,84143,24,26,,,,,,,,,,1,12
2,12,40,33,34,18,91122,24,26,24,49,31,,144,179150000,47,26,58,1,12
3,12,40,33,34,18,84143,24,26,,,,25220000,,169840000,48,22,,1,12
4,12,40,33,34,18,84143,24,26,,50,32,26620000,145,179150000,48,22,59,1,12
5,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
6,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
7,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
8,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
9,12,40,33,34,18,84143,24,26,24,50,32,26619606,146,179000000,49,26,,1,12
10,12,40,33,34,18,84143,24,26,24,,,,147,179200000,48,,,1,12
11,12,40,33,34,18,84143,24,26,24,50,32,,146,,,,58,1,12
12,12,40,33,34,18,84143,24,26,24,50,32,26620000,104,178620000,50,22,,1,12
13,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
14,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
15,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
16,12,40,33,34,18,84143,24,26,24,50,32,27000000,,179000000,51,26,,1,12
17,12,40,33,,,83097,,,24,51,33,26620000,146,179150000,,26,58,1,12
18,12,40,33,34,18,83097,24,26,24,50,32,,148,179150000,7,26,,1,12
19,12,,33,,18,84143,,,24,,,,,,,,,1,12
20,12,40,33,34,18,84143,24,26,,50,32,26620000,149,179150000,48,22,58,1,12
21,12,40,33,34,18,79346,24,26,24,,,,,,,,,1,12
22,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
23,12,40,33,34,18,84143,24,26,,,,,,,,,,1,12
24,12,40,33,34,18,,,,24,,,,,,,,,1,12
25,12,40,33,34,18,,24,26,,50,32,,110,179100000,,,60,1,12
26,12,40,33,34,18,89000,24,26,24,,,26620000,104,180000000,50,,58,1,12
27,12,40,33,34,18,4497,24,26,24,50,32,,150,169840000,48,22,61,1,12
28,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
29,12,40,33,34,18,84143,24,26,24,50,32,26620000,151,178620000,50,26,58,1,12
30,12,40,33,34,18,84143,24,26,24,50,32,26620000,146,179152600,50,26,58,1,12
31,12,40,33,34,18,84143,24,26,24,50,32,26620000,147,179100000,48,26,58,1,12
32,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
33,12,40,33,34,18,84143,24,26,24,50,32,26540892,152,178620000,,22,,1,12
34,12,40,33,34,,84143,24,26,24,50,32,,110,,50,26,60,1,12
35,12,40,33,,18,84143,,,,,,,,,,,,1,12
36,12,40,33,34,18,84143,24,26,25,50,32,,151,,,,60,1,12
37,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
38,12,40,,34,18,4497,24,26,24,50,32,,150,169840000,48,22,61,1,12
39,12,,,,,0,,,,,,,,,,,,1,12
40,12,40,33,,18,,,,,,,,110,,,,,1,12
41,12,40,33,34,18,84143,24,26,24,50,32,,,178600,50,22,,1,12
42,12,40,33,34,18,84143,24,26,24,50,32,26619606,,,,,,1,12
43,12,40,33,34,18,83100,24,26,24,50,32,,,,,,,1,12
44,12,5,34,35,2,34418,25,27,,,,,,,,,,1,12
45,12,40,33,,18,,,,,,,,,,,,,1,12
46,12,40,33,34,18,84143,24,26,24,50,32,,146,,,,58,1,12
47,12,,33,34,18,84143,24,26,,,,,,,,,,1,12
48,12,40,33,34,18,83097,24,26,24,52,32,26619606,,169833086,,,,1,12
49,12,40,33,34,18,84143,24,26,24,50,32,,153,178600000,50,22,,1,12
50,12,40,33,34,18,84143,24,26,24,50,32,26619606,154,179149948,48,22,58,1,12
51,12,40,33,34,18,74063,24,26,24,50,32,,153,179000000,,,,1,12
52,12,40,33,34,18,79346,24,26,,50,32,,154,179000000,51,26,62,1,12
53,12,40,33,34,18,84143,24,26,24,50,32,,155,179150000,52,26,60,1,12
54,12,40,33,,18,,,,,50,32,,146,179150000,53,,58,1,12
55,12,40,33,,18,,24,26,,50,32,,156,178620000,50,26,,1,12
1,13,41,35,36,19,1487544,26,28,,,,,,,,,,1,13
2,13,41,35,36,19,1487544,26,28,26,53,34,,157,4050000000,54,27,63,1,13
3,13,41,35,36,19,1485000,26,28,,,,144030000,,3880000000,31,28,,1,13
4,13,41,35,36,19,1487544,26,28,,54,35,146831000,158,4043712000,55,28,63,1,13
5,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
6,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
7,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
8,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
9,13,41,35,36,19,1487544,26,28,26,54,35,146830510,158,4000000000,56,27,,1,13
10,13,41,35,37,19,1487544,26,28,26,,,,159,4000000000,31,,,1,13
11,13,41,35,36,19,1487544,26,28,26,54,35,,158,,,,63,1,13
12,13,41,35,36,19,1487544,26,28,26,54,35,146831000,160,3970000000,57,28,,1,13
13,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
14,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
15,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
16,13,42,35,36,19,1487544,26,28,26,54,35,147000000,159,4000000000,58,27,63,1,13
17,13,41,35,,,1487544,,,26,55,36,146830000,158,4040000000,,27,63,1,13
18,13,41,35,36,19,1487544,26,28,26,54,35,,161,4040000000,44,27,,1,13
19,13,,35,,19,1487544,,,26,,,,,,,,,1,13
20,13,41,35,36,19,1490000,26,28,,54,35,146830000,162,4040000000,31,28,63,1,13
21,13,41,35,36,19,1485015,26,28,26,,,,,,,,,1,13
22,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
23,13,41,35,36,19,1485015,26,28,,,,,158,,,,,1,13
24,13,41,35,36,19,,,,26,,,,,,,,,1,13
25,13,41,35,36,19,,26,28,,54,35,,163,4044000000,,,63,1,13
26,13,41,35,36,19,1508300,26,28,26,,,146830000,160,3970000000,57,,63,1,13
27,13,41,35,36,19,48427,26,28,26,54,35,,164,3880000000,31,28,63,1,13
28,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
29,13,41,35,36,19,1490000,26,28,26,54,35,146830000,158,3970000000,57,27,63,1,13
30,13,41,35,,19,1487544,26,28,26,54,35,146831000,158,4043725740,57,27,63,1,13
31,13,41,35,36,19,1487544,26,28,26,54,35,146830000,159,4000000000,31,27,63,1,13
32,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
33,13,41,35,36,19,1487544,26,28,26,54,35,144111903,160,3968842000,,28,,1,13
34,13,41,35,36,,1487544,26,28,26,54,35,,163,,58,29,63,1,13
35,13,41,35,,19,1487544,,,,,,,,,,,,1,13
36,13,41,35,36,19,1487544,26,28,27,54,35,,158,,,,63,1,13
37,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
38,13,41,,36,19,48427,26,28,26,54,35,,164,3880000000,31,28,63,1,13
39,13,41,35,36,19,1240383,26,28,26,54,35,,162,,,,63,1,13
40,13,41,35,,19,,,,,,,,163,,,,,1,13
41,13,41,35,36,19,1487544,26,28,26,54,35,,,3968800,57,28,,1,13
42,13,41,35,36,19,1487544,26,28,26,54,35,146830510,,,,,,1,13
43,13,41,35,38,19,1490000,26,28,26,54,35,,,,,,,1,13
44,13,5,36,39,2,196929,27,29,,,,,,,,,,1,13
45,13,43,37,,20,,,,,,,,,,,,,1,13
46,13,41,35,36,19,1487544,26,28,26,54,35,,158,,,,63,1,13
47,13,,35,36,19,1487544,26,28,,,,,,,,,,1,13
48,13,41,35,38,19,1487544,26,28,26,56,35,146830510,,3876325464,,,,1,13
49,13,41,35,36,19,1487544,26,28,26,54,35,,165,3900000000,57,28,,1,13
50,13,41,35,36,19,1487544,26,28,26,54,35,146830510,165,4043712245,31,28,63,1,13
51,13,41,35,36,19,1439117,26,28,26,54,35,1.47E+11,166,3960000000,,,64,1,13
52,13,41,35,36,19,1485015,26,28,,54,35,,165,4000000000,25,30,14,1,13
53,13,41,35,36,19,1487544,26,28,26,54,35,,167,4040000000,25,27,63,1,13
54,13,43,37,,20,,,,,54,35,,168,4060000000,59,,63,1,13
55,13,41,35,,19,,26,28,,54,35,,160,3970000000,57,27,63,1,13
1,14,44,38,40,17,57568,28,30,,,,,,,,,,1,14
2,14,44,38,40,17,66287,28,30,28,57,37,,2,239830000,,,65,1,14
3,14,44,38,40,17,57138,28,30,,,,28430000,,232440000,,,,1,14
4,14,44,38,40,17,57568,28,30,,57,37,15039000,169,239837000,,,6,1,14
5,14,44,38,40,17,57568,28,30,28,57,37,15038839,,,,,,1,14
6,14,44,38,40,17,57568,28,30,28,57,37,15038839,,,,,,1,14
7,14,44,38,40,17,57568,28,30,28,57,37,15038839,,,,,,1,14
8,14,44,38,40,17,57138,28,30,28,57,37,15038839,,,,,,1,14
9,14,44,38,40,17,57138,28,30,28,57,37,15038839,,127000000,,,,1,14
10,14,44,38,40,17,55721,28,30,28,,,,,126800000,,,,1,14
11,14,45,38,40,17,57138,28,30,28,57,37,,,,,,66,1,14
12,14,44,38,40,17,57138,28,30,28,57,37,28450000,,233570000,,,,1,14
13,14,44,38,40,17,57138,28,30,28,57,37,15038839,,,,,,1,14
14,14,44,38,40,17,57138,28,30,28,57,37,15038839,,,,,,1,14
15,14,44,38,40,17,57138,28,30,28,57,37,15038839,,,,,,1,14
16,14,46,38,40,17,57138,28,30,28,57,37,15000000,,127000000,1,1,65,1,14
17,14,44,38,,,57138,,,28,58,38,28450000,,239830000,,,65,1,14
18,14,44,38,40,17,57138,28,30,28,57,37,,2,239840000,,,,1,14
