source,entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
2,41_3,Philips Electronics,TFT LCD 17 Million Colour,16:08,,,2
3,41_3,Philips Electronics,Brilliance LCD Monitor with SmartControl Lite,16:09,,,3
4,41_3,Philips Electronics,LCD,16:10,,,4
5,41_3,Philips Electronics,LCD Monitor,16:08,,,5
1,41_4,Philips Electronics,TFT/LCD,16:09,,,1
2,41_4,Philips Electronics,TFT LCD 16.7 Billion Colour,16:08,,,2
3,41_4,Philips Electronics,Brilliance LCD Monitor with SmartControl Lite,16:09,,,3
4,41_4,Philips Electronics,LCD,16:10,,,4
5,41_4,Philips Electronics,LCD Monitor,16:08,,,5
1,41_5,Philips Electronics,TFT/LCD,16:09,,,1
2,41_5,Philips Electronics,TFT LCD 16.7 Million Colour,16:08,,,2
3,41_5,Philips Electronics,Brilliance LCD Monitor with SmartControl Lite,16:09,,,3
4,41_5,Philips Electronics,LCD,16:10,,,4
5,41_5,Philips Electronics,LCD Monitor,16:08,,,5
1,62_1,Philips Electronics,IPS,16:10,,,1
2,62_1,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:10,,,2
3,62_1,Philips Electronics,Brilliance LCD Monitor With Clinical D-image,16:10,,,3
4,62_1,Philips Electronics,LCD Monitor,16:10,,,4
5,62_1,Philips Electronics,LCD Monitor,16:10,,,5
1,62_2,Philips Electronics,IPS,16:10,15.24549792,65.05870274,1
2,62_2,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:11,15.10743823,60.88332386,1
3,62_2,Philips Electronics,Brilliance Brilliance LCD Monitor With Clinical D-image,16:09,13.27237134,56.26817443,1
4,62_2,Philips Electronics,Monitor,16:09,12.96252115,58.93265372,1
5,62_2,Philips Electronics,LCD Monitor,16:09,13.56174232,63.64002794,1
1,62_3,Philips Electronics,IPS,16:10,,,1
2,62_3,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:11,,,2
3,62_3,Philips Electronics,Brilliance Brilliance LCD Monitor With Clinical D-image,16:09,,,3
4,62_3,Philips Electronics,Monitor,16:09,,,4
5,62_3,Philips Electronics,LCD Monitor,16:09,,,5
1,62_4,Philips Electronics,IPS,16:10,,,1
2,62_4,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:11,,,2
3,62_4,Philips Electronics,Brilliance Brilliance LCD Monitor With Clinical D-image,16:09,,,3
4,62_4,Philips Electronics,Monitor,16:09,,,4
5,62_4,Philips Electronics,LCD Monitor,16:09,,,5
1,62_5,Philips Electronics,IPS,16:10,,,1
2,62_5,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:11,,,2
3,62_5,Philips Electronics,Brilliance Brilliance LCD Monitor With D-image,16:09,,,3
4,62_5,Philips Electronics,Monitor,16:09,,,4
5,62_5,Philips Electronics,LCD Monitors,16:09,,,5
1,88_1,iiyama North America,TN+Film,16:09,,,1
2,88_1,iiyama North America,TFT LCD 16.7 million Colour,16:09,,,2
3,88_1,iiyama North America,ProLite E2483HS - A Full HD LED Monitor with 2 ms Response Time,16:09,,,3
4,88_1,iiyama North America,LCD Monitor,16:09,,,4
5,88_1,iiyama North America,LCD Monitor,16:09,,,5
1,88_2,iiyama North America,TN+Film,16:09,2.154737621,59.81607704,1
2,88_2,iiyama North America,TFT Brilliance LCD 16.7 million Colour,16:08,1.863241398,58.31340379,1
3,88_2,iiyama North America,ProLite E2483HS - A HD LED Monitor with 2 ms Response Time,16:10,2.093742294,56.72511738,1
4,88_2,iiyama North America,LCD,16:08,2.036730135,55.44950694,1
5,88_2,iiyama North America,Brilliance LCD Monitor,16:09,2.171315911,58.76804161,1
1,88_3,iiyama North America,TN+Film,16:09,,,1
2,88_3,iiyama North America,TFT Brilliance LCD 16.7 million Colour,16:08,,,2
3,88_3,iiyama North America,ProLite E2483HS - A HD LED Monitor with 2 ms Response Time,16:10,,,3
4,88_3,iiyama North America,LED,16:08,,,4
5,88_3,iiyama North America,Brilliance LCD Monitor,16:09,,,5
1,88_4,iiyama North America,TN+Film,16:09,,,1
2,88_4,iiyama North America,TFT Brilliance LCD 16.7 million Colour,16:08,,,2
3,88_4,iiyama North America,ProLite E2483HS HD LED Monitor with 2 ms Response Time,16:10,,,3
4,88_4,iiyama North America,LCD,16:08,,,4
5,88_4,iiyama North America,Brilliance LCD Monitor,16:09,,,5
1,88_5,iiyama North America,TN+Film,16:09,,,1
2,88_5,iiyama North America,TFT Brilliance LCD 16.7 million CColour,16:08,,,2
3,88_5,iiyama North America,ProLite E2483HS - A HD LED Monitor with 3 ms Response Time,16:10,,,3
4,88_5,iiyama North America,LCD,16:08,,,4
5,88_5,iiyama North America,Brilliance LCD Monitor,16:09,,,5
